,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_PAS_kmeans_mean,0.0892418949760968,0.1258883751269177,0.7860381306297226,0.1440370048447772,0.6378508285719295,0.7162588074539373,0.7587937253887229,0.3314161731112944,0.8907636047218522,0.8129299093961211,0.620766737449076,0.596466636151048,0.5675392721988127,0.5698827343572768,0.0840666149798108,0.5962301862843684,0.2116452376708455,0.1143921671475989,0.2676523897441507,0.297568050927453,0.3562178557711605,0.1846872861911336,0.2133425657721003,0.352229602167024,0.0383879595226372,0.7175746609009698,0.0413690929112357,0.0975535597268319,0.0151935589621643,0.1349678242418457,0.0264037737744201,0.5227003929638762,0.0193795895959297
downstream_metrics_PAS_kmeans_std,0.0549641288423011,0.0134900747248828,0.008967460126893,0.0077645308906037,0.0294700181784467,0.0221292797973627,0.0138564661018549,0.0163998821218312,0.0008393905337543,0.0168626114139173,0.0099898885059951,0.0324036647082778,0.0427535845357489,0.026958147452071,0.0063817206717334,0.0506078374566524,0.012304498764914,0.0080720253874098,0.0361298014774739,0.0290519974691706,0.0597835161016363,0.0052387028403343,0.0289590511102098,0.0240255661732004,0.0011378023288793,0.052274623629259,0.0137220452958174,0.011563810665231,0.0014367234154158,0.0331628085344818,0.0016624571956082,0.0330033587271475,0.0044033115630429
downstream_metrics_CHAOS_mclust_mean,0.0062913245055824,0.0068787278141826,0.0135326739400625,0.0071616761852055,0.0139763751067221,0.0122978473082184,0.0142043340019881,0.0083496295846998,0.0158669603988528,0.0149399265646934,0.0128420838154852,0.012825783342123,0.0127431824803352,0.0133548220619559,0.0065959536004811,0.0125652896240353,0.0070140776224434,0.0065772079396992,0.007441196590662,0.0120964795351028,0.0100687006488442,0.0078415593598037,0.0113666444085538,0.0114371082745492,0.006510623730719,0.0133500760421156,0.0064972504042088,0.0068646564614027,0.0060701256152242,0.0067602302879095,0.0062595391646027,0.0124156731180846,0.0062193975318223
downstream_metrics_CHAOS_mclust_std,0.0005211422685533,0.0004563957918435,0.0008697109296917,0.000510997371748,0.0013174922205507,0.0008242754265666,0.0011859755031764,0.0003006984479725,1.828465610742569e-05,0.000475644133985,0.0008843191899359,0.0011952649801969,0.001273731701076,0.0011785654351115,0.0005733736325055,0.0014083692803978,0.0004885541275143,0.0006246010307222,0.0005948599427938,0.0010224347934126,0.0012631155550479,0.0007530215661972,1.810351386666298e-05,0.0012830444611608,0.0007437877357006,0.0016035987064242,0.0007314323447644,0.0007126240525394,0.0006082656327635,0.000650811009109,0.0006055599078536,0.0011889203451573,0.0005445426795631
downstream_metrics_PAS_mclust_mean,0.0245681874273583,0.0965436649552605,0.71342352315422,0.0842796453886686,0.535534359162636,0.6575173712443989,0.7706275764960782,0.2459350037721669,0.8493579058986039,0.7139985138342294,0.5341618059578153,0.5584231312754455,0.6416484071576818,0.5645329691281556,0.0690768337919318,0.6402734850376299,0.0845197647912758,0.0469668154228085,0.1264651280363732,0.5222889920284257,0.3877075701564754,0.1428037467300316,0.4745116055066168,0.5501287658621334,0.0431639724682622,0.6222818821038882,0.0839489247010006,0.0601630998508601,0.0116572932005086,0.0840895466203276,0.0257247645507844,0.5369283460622183,0.0163145842647663
downstream_metrics_PAS_mclust_std,0.0034565893860878,0.0177562480774143,0.0147741789588452,0.003415365526618,0.0380990078323909,0.0220169541562069,0.0425690776586005,0.0095536993497825,0.0546053193467681,0.0788595164445984,0.0180551023744065,0.0398848922750373,0.0642563620056663,0.0266489373939562,0.0004260325801108,0.0726430784210138,0.0044176364830617,0.0018680453892639,0.0070740871278885,0.0115600638563369,0.037477727940051,0.0240312284047738,0.0375129583256249,0.0358324025161986,0.0234099657593543,0.0703233424450132,0.0092812641220467,0.0114791462097689,0.0003583964148828,0.0173909327729996,0.0022080898973225,0.0310269918567269,0.0022147805187914
downstream_metrics_CHAOS_leiden_mean,0.0063132273498922,0.0066378461197018,0.0138643886893987,0.0070117942523211,0.0133724198676645,0.0108401356264948,0.0138169075362384,0.0089800460264086,0.0161366015672683,0.0138774649240076,0.0124262892641127,0.0130085446871817,0.0130473463796079,0.013134466484189,0.0064767920412123,0.0125112729147076,0.0068415605928748,0.0065761655569076,0.0071171664167195,0.0117092188447713,0.0091515071690082,0.0096970871090888,0.0080066306982189,0.0110782473348081,0.0063907692674547,0.0133488322608172,0.007595393108204,0.0069056896027177,0.0060597425326704,0.0100119793787598,0.0062267268076539,0.012754738330841,0.0061862752772867
downstream_metrics_CHAOS_leiden_std,0.0005553180817514,0.0005698120221495,0.0013604005798697,0.0004083418752998,0.0014568916521966,0.0008890759199857,0.0013669109903275,0.0001467363908886,0.0001383703202009,0.0006717597134411,0.0005133184604346,0.0011672149412333,0.0011298502795398,0.0011426135897636,0.0006030867807567,0.0015026582404971,0.0004948631394654,0.0005677021108567,0.0006288934964686,0.0007659811526536,0.0012086862698197,0.0013863621279597,0.0002186044584959,0.0012472257949411,0.0005901034455746,0.0016097263433039,0.0009322210680693,0.0006075666751712,0.0006006062030792,0.0014639245346188,0.000579394865781,0.0011141747236251,0.0005840314552187
downstream_metrics_PAS_leiden_mean,0.0199663849474555,0.0501361832214797,0.6825364547165473,0.0606149385582065,0.5663007816728018,0.426053812760627,0.6257287310380988,0.3515304688309583,0.8933748457777426,0.6125250850495605,0.5303466380496566,0.5485434345269362,0.556121324825809,0.5551887532397076,0.0446642029332784,0.5994414903079532,0.0510585752355856,0.0486496202644609,0.0851133062249553,0.4414859989286165,0.275588079748281,0.3100220608773278,0.2387922175953142,0.4861775766134417,0.0366092220684981,0.6209181156977042,0.0576906210904771,0.0312764264562645,0.0075033369349874,0.3851759013182811,0.0223325374586394,0.5389944971871219,0.0149910205989171
downstream_metrics_PAS_leiden_std,0.0012595358268904,0.0051501877562814,0.0343814043997378,0.0154193514157032,0.057577426508895,0.0108114578984435,0.0667240632000354,0.0247008287570295,0.0014479361117555,0.0107111643514297,0.0133411315046801,0.0245564263804051,0.0278391957237023,0.0292671658197973,0.0024939244603537,0.0642019751951619,0.0066060858580728,0.003797001321184,0.0034868748090683,0.0136903317602001,0.0236135664990752,0.0734354396466514,0.08942956683221,0.0312852208638366,0.0031179276752283,0.0707344194089017,0.0026527281845261,0.0032871465102198,0.0008916722054559,0.0663607867521416,0.001201885628523,0.016480609037751,0.000929324430634
