,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAIR,STAGATE,SPIRAL,SpiceMix,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_geometry_truthworthiness_decay_std,0.0221003345609166,0.0007466491552567,0.013227416561006,0.0021012814170815,0.0013251724113858,0.0008438106864873,0.0143317512758539,0.0009635524823759,0.0006894087434767,0.0001061096986374,0.0012803675045065,0.0004593064122806,0.0024931079403953,0.0167798444773536,5.2783411019079705e-05,0.010636787885589,0.0154894069827002,0.0005128233625862,0.0005317669865537,0.0090645369090934,0.0090064261075853,2.8006375560963092e-05,0.0026735254696204,0.0172929770140983,0.0134567133539421,0.010001433732065,0.0035436689471672,0.0217961410725273
bio_metrics_scgraph_scGraph_Rank_PCA,0.6450124483444337,0.6751159382721192,0.6836918429361725,0.6972670141243383,0.64861380296186,0.75281539780534,0.7321318729477866,0.7700622163154696,0.7245799580189243,0.7694585520731734,0.7960630043899608,0.7169274639167643,0.7440337534360396,0.5887099781854752,0.7288168775334508,0.6995446840153011,0.7590624462114793,0.6690535933954874,0.7824426767641117,0.7013414702177759,0.7048053653345991,0.5007346605490848,0.7566028158184042,0.6792762419590451,0.6815565956567718,0.4544622546872592,0.7145074501447988,0.7180346280699517
bio_metrics_scgraph_scGraph_Corr_PCA,0.8067786419335736,0.8014251329301303,0.7225200732811908,0.7330780030507377,0.7068657357403774,0.815986051981964,0.8133660941397126,0.8065068697769895,0.7839820288044829,0.8240317764483844,0.8384438157489769,0.7889094823554867,0.7725317267854175,0.728281981086996,0.7295841303832777,0.7908009977093808,0.8175785038204839,0.7597696190341212,0.7346525562658861,0.7360601880119317,0.7849890472920595,0.5802655409889451,0.8188926826643538,0.7769758823617263,0.7599575883075992,0.5611925163631726,0.7470190728848771,0.838319804797786
bio_metrics_scgraph_scGraph_Corr_Weighted,0.5296003066853784,0.5809405128994916,0.5205020202752746,0.5811561922137194,0.4979993078435535,0.6453350595366217,0.639568312886199,0.644302234845398,0.6412046931984133,0.6466376769944959,0.6820740646472563,0.5795306209950748,0.6246698498713956,0.4249575663031733,0.5730363730917037,0.5996947442264913,0.654471236168303,0.5273419980191082,0.619745936846987,0.5688396690955326,0.560507306060109,0.2865310497055504,0.6848855755954857,0.5511300887723516,0.5578705683503238,0.2194416504639239,0.5866986504565306,0.6870993501146486
sc_metrics_MSi2_KNN_acc,0.4171731640277186,0.8484669583059115,0.535470945762843,0.7963977391506329,0.7912972784638612,0.8736014865858852,0.4430722774960319,0.8492218652007278,0.8078471603886803,0.8473926677248268,0.9043397468158414,0.8935000580697612,0.845234408269134,0.5436200689094499,0.8544868568773953,0.550530370485076,0.6097712051411095,0.8548255971507104,0.7236072935619992,0.6716348573419535,0.8473733111377801,0.2064283225581665,0.8385079942704502,0.4742557392280593,0.8735821299988386,0.2045120204405559,0.8411114552282142,0.382495838333785
sc_metrics_MSi2_KNN_f1,0.2429230286908062,0.6734697080132097,0.3292365660768516,0.6295565034934312,0.544510719793504,0.7130752645289312,0.2530275547827666,0.6580431601502489,0.5975692054844991,0.6546588871729597,0.7842064722094284,0.7809939568820514,0.6734251348503378,0.3404269425920742,0.6410290586284548,0.3296299603333099,0.3670474559702187,0.6981116767404492,0.327684930880558,0.3281003662869088,0.6869760579483251,0.0567101875399265,0.653434285749554,0.2749880955881753,0.738344485738596,0.0593000058577498,0.6626222282822604,0.2030804158040365
sc_metrics_MSi2_LR_acc,0.4291355348225001,0.8431922883357207,0.5517014440013936,0.8125024195733809,0.8445182145484108,0.8817409314389687,0.4779044558863381,0.8789922960783555,0.8052920908985328,0.8636618791374705,0.9092563199256708,0.8927935426425613,0.859074368007433,0.5766036932368085,0.8489702295691224,0.5763423793116798,0.6125391970887694,0.8784599899345747,0.7307982656498007,0.6967597073284039,0.8604873988618327,0.2191456002477643,0.8294781464132244,0.5305156594789207,0.893596841004994,0.1867910649994193,0.8560257055475978,0.4548604390073942
sc_metrics_MSi2_LR_f1,0.2424418350872857,0.6775098417353548,0.3547893697479748,0.6366118926227958,0.6638311762862729,0.7361897970608559,0.2735811668872573,0.742875990602269,0.6023783921919078,0.691073727450771,0.815499291323958,0.7861734554490553,0.7048686956853701,0.3746510759503451,0.5677876399368189,0.3447978831485386,0.3877182304119762,0.7721602651572015,0.2997798193157298,0.3048567527994354,0.7097668836757167,0.0430556794938386,0.6370402389655474,0.3184558717013842,0.7920855084392392,0.0573147830485726,0.6776933934668271,0.2629037028679732
sc_metrics_MSi2_RF_acc,0.4209283419147536,0.8231291858619488,0.5536661375866208,0.7993883318493283,0.8058340753358367,0.8740466880879564,0.4672680113042468,0.8476346250629089,0.8323913127637335,0.8345495722194263,0.8943227130192405,0.8964519375943634,0.8555998606325733,0.5624153149316713,0.8647748828926484,0.5641477294723395,0.6184913476055902,0.8349367039603577,0.6772095544113662,0.6697959815725292,0.8562192714180635,0.2054217800317448,0.8425244860826139,0.4897506871588401,0.8821474197669467,0.2044733072664628,0.852309240834656,0.4545410553211257
sc_metrics_MSi2_RF_f1,0.239279801029612,0.6293328767424599,0.317640212027042,0.5812309408802815,0.5082532832658825,0.7088145746394909,0.2547306330092276,0.6007950387107328,0.6379947423512349,0.6001614042110761,0.7537469967790436,0.7808170976610268,0.6717823473138227,0.3260533133579235,0.6674864059753721,0.3265556635089305,0.3601794234088724,0.6433877648861545,0.3374844071150329,0.3290434077514326,0.6898670365579426,0.0575160513510417,0.6551990317263016,0.2603283046546555,0.7326475793761656,0.0579302683688421,0.6737658484455553,0.2405124788047509
