,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_CHAOS_leiden_std,0.0005808039568364,0.000836222898215,0.0020176516845822,0.0009412476792931,0.0019546812400221,0.0020844116806983,0.0016773352399468,0.0009843171574175,0.0019733691588044,0.0020921337418258,0.0013378858566284,0.0014559580013155,0.0017407899722456,0.001810707617551,0.0009273146279156,0.0016274354420602,0.0009025409817695,0.0008731558918952,0.001005392987281,0.0016594268381595,0.0025363927707076,0.0007859533652663,0.0012881932780146,0.0008657239377498,0.0015930626541376,0.0010918846819549,0.0012541352771222,0.0007210343610495,0.0019739912822842,0.0012373134959489
downstream_metrics_PAS_leiden_mean,0.1929006390777304,0.2427685901332043,0.8355108078219279,0.325299045282197,0.7884634043145493,0.9117708381339642,0.8251196686235056,0.3519700749987509,0.8686045910065578,0.6596831263993972,0.8163117083196423,0.808451789079917,0.8122763301976121,0.7404177153257505,0.2493157433617909,0.8238622542196342,0.4434178392983307,0.3491446969445954,0.5044138059392108,0.6986811659744222,0.9397058140701386,0.4534488830647045,0.7293118727947965,0.4038180525041644,0.7985699756776016,0.0509437993414691,0.5404116711061288,0.1036115306425541,0.7821351753637813,0.2706652759786888
downstream_metrics_PAS_leiden_std,0.0848289969707964,0.0348265810853458,0.0159653172004828,0.045450372036873,0.012080431220023,0.0094850633780181,0.0224793871345772,0.024382043569348,0.0025631613391063,0.0584311094269474,0.0399155073619449,0.025401972947215,0.0067788302637515,0.0102396682874689,0.0081321141652513,0.0045680929984378,0.0714106433407656,0.0808439482475399,0.0395337826581716,0.0074459481115157,0.01734014302064,0.2724520312961392,0.0366745014357658,0.0579491141724625,0.0333116355098722,0.0079598753589197,0.0435466746776518,0.0141647198803646,0.006545874059514,0.0329538673848921
downstream_metrics_average_confidence_score_mean,0.945304036140442,0.9571638107299804,0.8273611068725586,0.6694419980049133,0.7214353680610657,0.863391637802124,0.940804362297058,0.9612141251564026,0.8433173298835754,0.9960564374923706,0.8102637529373169,0.830702543258667,0.955053687095642,0.8607164621353149,0.932086169719696,0.9937673211097716,0.954812467098236,0.9914017915725708,0.9675305485725404,0.745387852191925,0.9987806677818298,0.9999932646751404,0.9437353610992432,0.8609397411346436,0.9953088760375975,0.6752346158027649,0.7820102572441101,0.9973453283309937,0.9450828433036804,0.976222276687622
downstream_metrics_average_confidence_score_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_slice_wise_average_PCC_mean,0.3697147369384765,0.285674512386322,0.5704241394996643,0.3903191983699798,0.5720239877700806,0.5354122519493103,0.5565162897109985,0.3087917566299438,0.5847216844558716,0.5546044111251831,0.5824403166770935,0.6722197532653809,0.5893654823303223,0.5998304486274719,0.3800024092197418,0.5563884973526001,0.4326184391975403,0.3792099356651306,0.4189049005508423,0.5884122252464294,0.2672628760337829,0.3491828739643097,0.5601232647895813,0.3221490085124969,0.5256743431091309,0.3271855413913727,0.5830152034759521,0.2898015677928924,0.579707145690918,0.2633257806301117
downstream_metrics_slice_wise_average_PCC_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_average_matching_rate_mean,0.3258419534908331,0.3054049048916638,0.2330220376200428,0.3142014339003677,0.2295827931955872,0.2172411968570597,0.2313420989973279,0.2674806211804545,0.2277441202148205,0.2311833646392761,0.2417391994497209,0.266250429905553,0.2617529564274187,0.238405777930633,0.3113177597290933,0.2338950765893277,0.3213180242863568,0.3145982697954972,0.2966480594724728,0.2804703828143601,0.2125717611577025,0.2051509299187809,0.2868726685891161,0.379137014206725,0.2128098626947802,0.392722029683325,0.323553533162253,0.3191089711368026,0.2801000026455726,0.2287494378158152
downstream_metrics_average_matching_rate_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bio_metrics_geometry_cell_distance_corr_mean,0.187329216864543,0.1868823488077711,0.0627011078361344,0.1662672954062177,0.0434892342351112,0.0697806232917871,0.0569133161910755,0.144840642727027,0.0690589739775974,0.0329840121290877,0.0622624622117149,0.0593484429064482,0.0777019407742821,0.050390576491048,0.2366374930172766,0.0540770472349662,0.1516148114255319,0.1503662691614095,0.1479212984345545,0.1256539373293121,0.0724192771050067,0.1260347619151343,0.1409541654121754,0.1728131508606529,0.0327136965345915,0.2495379692293554,0.1785056503648616,0.2655331609436879,0.098945501557045,0.1413789572835583
bio_metrics_geometry_cell_distance_corr_std,0.0858367224670907,0.063496912778067,0.0282632276691212,0.0626305743939432,0.0223582452679095,0.0182900975235159,0.0263412495434364,0.0526492439537715,0.0239474465413171,0.0261622764036632,0.0270209288505515,0.0304777037167541,0.0314676638974086,0.0291678286746705,0.0882201601973083,0.0292901934297399,0.0694258413528717,0.0559160202836455,0.0627832762083837,0.0493007565797675,0.0319193415853219,0.1121892957982903,0.0624686795882677,0.0321320765636996,0.0174395705010334,0.0534281757083251,0.0593231032798972,0.078405084460559,0.0563444651789322,0.0279460520898908
bio_metrics_geometry_truthworthiness_mean,0.7316728236999426,0.722343349055852,0.561729728584242,0.6900054086430321,0.553287292423148,0.5875498000789988,0.5571504383626429,0.661398994039383,0.5538152893277114,0.5475807351931725,0.5596648204433288,0.5743165905201171,0.5771462600367157,0.5635011753155299,0.6844422810864748,0.5591367907476419,0.6598075760303872,0.7117039855221523,0.6592039133531087,0.5737994357601707,0.5290183954108334,0.6423344549466223,0.6209331334466848,0.6480504337510498,0.5529839333910567,0.7717120011026711,0.6649822145525242,0.7066334639739358,0.6049340901922255,0.6779946002003485
bio_metrics_geometry_truthworthiness_std,0.0458339120617853,0.0449023463586443,0.0212638715398658,0.0287228081786293,0.0201021130163517,0.0119119425966508,0.0186001415807242,0.0334779940989223,0.0194919135853814,0.0188345931162072,0.017994735684024,0.0256458177181618,0.0261724748064164,0.0227223985957084,0.0347657793411992,0.0244471338226257,0.0406533833678979,0.0465295406574035,0.0369028368774522,0.0261554021215293,0.0066976100031075,0.0384930773973671,0.0363992632393161,0.0052192807045828,0.0191063360843691,0.0376025787127721,0.0420170344872141,0.0374749999965695,0.0369735244359992,0.0249470550921689
bio_metrics_geometry_truthworthiness_decay_mean,-0.1645293429597054,-0.1113596233348505,-0.0064524003751608,-0.1733580224294278,-0.0125075821234758,-0.0232260111415013,-0.0080045989132095,-0.0941739477802249,-0.0042502884107606,-0.0051738115410428,-0.0091971830074727,-0.0136131154457349,-0.0117708166106272,-0.0109235955496138,-0.0842791508371794,-0.0070086213067864,-0.1084675454399607,-0.1620444494445448,-0.1102354782383306,-0.009021901780614,0.0033949084938739,-0.0361258853439095,-0.0370779365251801,-0.0195239133753424,-0.0065513564087613,-0.1387864704481784,-0.0527630681433153,-0.0585167686294275,-0.0322736137406676,-0.1251765186247403
bio_metrics_geometry_truthworthiness_decay_std,0.000126080680816,0.0021086752670762,0.0008520102643143,0.0062672565274716,0.0028580801817059,0.0004143786274592,0.0016973645791522,0.0071180810363571,0.0016253609341845,0.0011276417324634,0.0024529540974129,0.0020466075503809,0.0009302183612842,0.0001073784935594,0.003540493894125,0.0015718197797694,0.0071964625331561,0.0054012456928485,0.0025225277490281,0.0016686495445152,0.0007763892125195,0.0028817905209126,0.002883662272062,0.0019813474324625,0.0010627616801686,0.011240896916938,0.003068289008327,0.0065406488194416,0.0036871029159986,0.0100753510326654
bio_metrics_scgraph_scGraph_Rank_PCA,0.7669675330535182,0.7555543852269299,0.8007728911069337,0.7515676780343429,0.7763633890033166,0.654727269082806,0.7839038993305149,0.7841777412071996,0.8176395428059221,0.6949582722549346,0.791123252850669,0.8318285397190923,0.7685400280477472,0.8292515731900464,0.7189437032403401,0.8285984430495847,0.8008133483201891,0.7756408804811559,0.8296667292028342,0.7097614920277074,0.5468358254881933,0.7425457228707368,0.8033876280935248,0.3025110427763099,0.8161275759348878,0.6966559784368134,0.759690669872015,0.625877984648406,0.8297084560955795,0.4229207508607572
bio_metrics_scgraph_scGraph_Corr_PCA,0.84543658576064,0.8586005951385658,0.8917691438485796,0.8038604209003346,0.821569262053529,0.7734311243577461,0.857211184063404,0.8610838999163585,0.871540451142853,0.786187096463866,0.8487250889405586,0.8927907959910298,0.8501306467069115,0.871330910168402,0.8065820191430368,0.887414973021551,0.876256124850974,0.8467439812380402,0.9009826762767016,0.7956155808771938,0.6074610519122728,0.8135819542516604,0.8831108922982661,0.4368711937003429,0.8812818878937165,0.8036447931097985,0.8358141628504349,0.6774877266311505,0.868169640511787,0.5273112200429952
bio_metrics_scgraph_scGraph_Corr_Weighted,0.656715049171373,0.6867831638465697,0.7372459241015846,0.6075063361292579,0.6278216806430009,0.5399598390520758,0.6785811056819852,0.7292508451332754,0.7353145771756243,0.6001877949422809,0.6882833621485924,0.7582702669801654,0.6640049675444148,0.7392317621003645,0.6075292265134434,0.7448023519722551,0.7298918021327042,0.7144374870242028,0.7897187415182102,0.57156276348274,0.4448007604980283,0.6686955231394385,0.7449009176226852,0.6747117710161883,0.7355958733123888,0.5585071583996477,0.6508990546731531,0.4708385025650655,0.7459487400821284,0.7134362315673972
sc_metrics_MSa1_KNN_acc,0.4681617163688519,0.2990721926731608,0.7176238570489452,0.4103941313571984,0.6436682005617642,0.7023098069682663,0.8263237315484372,0.3343916213470387,0.7339688041594454,0.7496937189983864,0.7628339209944421,0.8813123767405725,0.8329573298272874,0.7329005557879639,0.3958644594513835,0.7394071595051694,0.5133643100460169,0.4042535707882627,0.4599444212036096,0.8098891412179525,0.2413793103448276,0.4494113428554354,0.7193793701069743,0.5440372318173669,0.7479456762086895,0.3734835355285962,0.7998266897746967,0.2886511683499671,0.7557521066156696,0.2938430048407339
