,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_average_confidence_score_mean,0.9511709809303284,0.8189034461975098,0.7737371921539307,0.7304060459136963,0.862424373626709,0.8620483875274658,0.973686158657074,0.8485862612724304,0.9984861612319946,0.766086757183075,0.8004851341247559,0.9622578620910645,0.803813099861145,0.9322468042373656,0.9910006523132324,0.9962795972824096,0.977818489074707,0.797541081905365,0.9999008774757384,0.993655562400818,0.999619483947754,0.9223604202270508,0.9953526258468628,0.9941270351409912,0.8343378305435181,0.8661272525787354,0.996950089931488,0.936905026435852,0.9781256318092346
downstream_metrics_average_confidence_score_std,0.0009607076644897,0.0002983808517456,0.00381401181221,0.0008387565612792,0.0069586038589477,0.0028720796108245,0.0002345442771911,0.0050615072250366,8.621812594356015e-05,0.0010562539100646,0.0068873465061187,0.0005718171596527,0.0036013722419738,0.009073406457901,0.00024875998497,0.0005061328411102,0.0013121962547302,0.0062255263328552,2.0682811737060547e-05,0.0002346932888031,0.0001006722450256,0.0061894655227661,0.0008803308010101,1.2785230865119956e-05,0.0043707489967346,0.0038201510906219,0.0006253719329833,0.0074352920055389,0.000987946987152
downstream_metrics_slice_wise_average_PCC_mean,0.3546739816665649,0.4715811610221863,0.4100373983383178,0.4929520487785339,0.4047916531562805,0.4520038962364197,0.3528231382369995,0.4150286912918091,0.4130127429962158,0.4570112228393554,0.5240045189857483,0.4678007364273071,0.5032038688659668,0.3976182341575622,0.4518998265266418,0.3889526128768921,0.4113514125347137,0.479280561208725,0.2999494671821594,0.4265199899673462,0.4097975492477417,0.4644879102706909,0.3903486132621765,0.4389372169971466,0.3663789629936218,0.4723347723484039,0.3510926365852356,0.4733662009239197,0.3332968354225158
downstream_metrics_slice_wise_average_PCC_std,0.0075623691082,0.0058795362710952,0.0095099955797195,0.005551740527153,0.0166409164667129,0.0076040774583816,0.0066526681184768,0.0217419862747192,0.002342864871025,0.0061926543712615,0.0071789026260375,0.0007766932249069,0.0051238238811492,0.0105493813753128,0.0022334903478622,0.0071239918470382,0.0077810287475585,0.0119426250457763,0.007784679532051,0.0092662870883941,0.0074441879987716,0.0045422464609146,0.0076276212930679,0.0069160759449005,0.0054272860288619,0.0015017390251159,0.0041683167219161,0.0110878646373748,0.011487990617752
downstream_metrics_average_matching_rate_mean,0.68446400965073,0.4944776664584708,0.6739674313238793,0.49862320533638,0.3999537292180816,0.4526947380020452,0.6067414935355327,0.3772010435592554,0.3859616596092199,0.4586610542502755,0.5150904366700113,0.5096191588195189,0.5120782811254048,0.6742697428143523,0.4880022270148553,0.6903156259490864,0.6535992441760308,0.5298332076975619,0.1869488072241064,0.6719949461210597,0.5674748652529928,0.6214588032829035,0.6761250652261983,0.4317518873195523,0.7490520905504853,0.7435618013030576,0.7805176124082719,0.6401611565339174,0.5141432531724487
downstream_metrics_average_matching_rate_std,0.0045777006198635,0.002685171317194,0.0076790529537905,0.0007140149755748,0.0041297395833579,0.0038583399355679,7.383020768103599e-05,0.0007428444160273,0.00712077656741,0.0094758247690376,0.0008232318063047,0.0035544755086104,0.001678121659615,0.0180111163075891,0.0054288478351074,0.0111245494632822,0.004446303240125,0.0028785059484215,0.004440040137233,0.0014911338920269,0.0042516629806053,0.0010557728869275,0.0028206350672307,1.8195188192376976e-05,0.0114103602393687,0.0097745220138307,0.0043079148949415,0.0055058589641641,0.090024052494719
bio_metrics_geometry_cell_distance_corr_mean,0.1702265327634268,0.0673011358346741,0.1649048346823465,0.0696912357334926,0.0752754934361956,0.073640738808847,0.1341586545058682,0.0236823840917219,0.0427499096574811,0.0593526572076366,0.0852072567953289,0.0901471969971332,0.0835715386366944,0.210774707654669,0.059506899802676,0.1535253298025493,0.1374645036854344,0.1181704544872612,0.0139876771846862,0.1613994565249087,0.1564106902152485,0.1301541861874909,0.1828133741790116,0.0554376584781504,0.2219408579487277,0.1786478116981806,0.2593106690585089,0.1338970684252415,0.1416816528682262
bio_metrics_geometry_cell_distance_corr_std,0.013837659128822,0.0032889632379552,0.0213120554847336,0.0085510006610739,0.0129531471215515,0.0113106040717938,0.0072765319528289,0.0065016523646583,0.0082821845150319,0.0106213146483278,0.0154601639448055,0.0141793125169741,0.0148380606745843,0.0346783918148413,0.0095773273664231,0.0098006710601387,0.0222847813980416,0.0162314230951926,0.0073393147019654,0.0090996985008181,0.0130323313623435,0.0213795433146837,0.0528833476933173,0.0137434179981071,0.0308839773580122,0.03055651922685,0.0293748360197319,0.021910157342418,0.035544988330313
bio_metrics_geometry_truthworthiness_mean,0.7740084861856925,0.5798173183539218,0.7507113071734048,0.583196255324307,0.5968159770376876,0.5676835819286686,0.6808792461559786,0.5367856540085847,0.5402335995775895,0.567180485970779,0.5932552925156777,0.584765298522326,0.5887881688081956,0.7284578409299748,0.567468867212012,0.7788883373312686,0.7150760101851118,0.5980021777497146,0.5073949763397293,0.6503456649293763,0.6717993901345541,0.6480488473255,0.6575323475615513,0.555922277323819,0.8227584315414166,0.6931463594224095,0.7569751970627312,0.6407693983359465,0.7049111887653418
bio_metrics_geometry_truthworthiness_std,0.0138626451401569,0.0072889986285006,0.0080223096998502,0.0038332336722306,0.0134006408825654,0.0044689391185898,0.0135581297212945,0.0039672424699601,0.0034612475409949,0.0055306086932673,0.0087096655555056,0.006555250283762,0.0053362412733112,0.0146419830642844,0.0076210313023283,0.0112708755177267,0.0137272697573782,0.0061828639914127,0.0017850538948311,0.0079165369119065,0.0102577286378226,0.0112966495985881,0.0130611519745005,0.0063908129170866,0.0183537150704867,0.0135043708812207,0.0227430469311511,0.0116940254187231,0.0097885821506364
bio_metrics_geometry_truthworthiness_decay_mean,-0.1439779280304226,-0.0182985253023547,-0.1795943328503293,-0.0240480635397843,-0.0245452690081271,-0.0133495499080483,-0.1067102012990781,-0.0087381087279083,-0.0027618898042976,-0.0159599427937933,-0.0246875622232226,-0.017641766715786,-0.0237330764063517,-0.1116271076231603,-0.0129186315558541,-0.1809658434352095,-0.1416032835560817,-0.0194978446467693,0.0029074426854598,-0.0498140084178592,-0.039075699987761,-0.051879090740055,-0.0257713737253595,-0.0091271485080198,-0.1484505678003776,-0.0732874451031147,-0.066643132140587,-0.0490631110282642,-0.1510969244850079
bio_metrics_geometry_truthworthiness_decay_std,0.0025408909364224,0.0007094969827814,0.0032673362798852,0.0004600938809436,0.0019108308451506,0.0005145673452084,0.0047613631818344,0.0002653282120456,0.0002927680183642,0.0008625295161346,0.0011130070251029,0.0005860134999585,0.00098706790725,0.0082113717839753,0.0002291725472295,0.0003340668321265,0.0041867278623151,0.0015978113735435,0.001175759918279,0.0036817661955196,0.0025378759674527,0.0020359964292587,0.0029757019262159,0.000873809684886,0.0042881912857885,0.0036173624255666,0.0022277922796355,0.003138693342568,0.0166068183301525
bio_metrics_scgraph_scGraph_Rank_PCA,0.7015986394557825,0.6936479591836735,0.8691241496598641,0.8578061224489797,0.5693027210884354,0.8009438775510207,0.7485969387755104,0.7000170068027212,0.7871173469387756,0.8469387755102042,0.8803571428571431,0.8623979591836737,0.8738775510204082,0.7892346938775511,0.8359523809523811,0.7515051020408163,0.882559523809524,0.8460629251700682,0.560578231292517,0.8211139455782315,0.7979846938775511,0.8528231292517008,0.7424390857807394,0.851624149659864,0.8220153061224492,0.8297619047619049,0.6382568027210886,0.8697108843537416,0.6863433040921365
bio_metrics_scgraph_scGraph_Corr_PCA,0.8383764912941182,0.8563562588725387,0.9620721690332902,0.9494645547764332,0.6603123692415955,0.9285603879377448,0.8612363382812367,0.8409913048392573,0.9121892820239136,0.9590683933626852,0.97103357741374,0.9549348874170092,0.959155449516364,0.9173977263336688,0.9506125728981044,0.888457358656275,0.9504818036984533,0.9385698316180944,0.6463512255911986,0.9117797707385356,0.867934543341985,0.955303051473417,0.8531985736558244,0.9198571391151952,0.9440282454932576,0.9584729647801224,0.7893412448265298,0.9648374301493828,0.8212131898770624
bio_metrics_scgraph_scGraph_Corr_Weighted,0.5157983052862498,0.5678557415491953,0.8722282406192852,0.8417464040308189,0.3128327418657718,0.7718420107406603,0.6246647712631257,0.5988242273731427,0.8195265196025707,0.8477760188794443,0.8887228902718963,0.8732958346542213,0.8982370582432715,0.7344523293608656,0.8274477162517788,0.6629277042428281,0.8802695749945224,0.8047064470861953,0.3430603147732542,0.7476189861705713,0.731507018027777,0.8552147634035349,0.681646187888443,0.8431423887959276,0.8165607912619357,0.8604272553126915,0.4324546176201468,0.8963545064513998,0.6300684278651069
sc_metrics_LUAD-5 R1_KNN_acc,0.4374298483704414,0.8524315830289177,0.5759678373910736,0.8507887594130732,0.6312320156731496,0.8276259668170037,0.4471541397114345,0.6419460827330055,0.7177098426562724,0.7378522887288015,0.8700128568804718,0.8818391461398747,0.8787983918695537,0.5723760739576743,0.885941103242791,0.5554376441297116,0.5912022203628498,0.8464317054753985,0.2191383849309197,0.7752086692108324,0.6166098651047938,0.848074529091243,0.613814003795841,0.8044223587273729,0.482602395869472,0.8449929593273606,0.4090528764719087,0.8792575661721189,0.3753902981571804
sc_metrics_LUAD-5 R1_KNN_f1,0.1876362802861847,0.5605768629751933,0.2902058458832836,0.5410068448761807,0.319251345588179,0.5301910090286808,0.1869329452439509,0.313003573674288,0.3973098180970625,0.4124316383470738,0.5674550424985524,0.5914545776383224,0.5778595523218185,0.2787153843094642,0.5895876968897883,0.2657801407029632,0.2972658057995107,0.5405413863846256,0.0661181858343329,0.4623204518207469,0.2948554289841546,0.5488380457467158,0.303389869311172,0.4820872988405534,0.2128766254682509,0.5385256568320845,0.1702967739332515,0.5820362638223654,0.1642067943433487
sc_metrics_LUAD-5 R1_LR_acc,0.4551233648292892,0.8755331523846452,0.5941409358992673,0.8916246607212097,0.7210873247484745,0.8604110120201629,0.4818677169853676,0.7161078345339891,0.7505357033529928,0.7674435215607844,0.8998285749270423,0.8932776882104447,0.9124711740576724,0.60566110895696,0.889073692373625,0.5776106610069183,0.6082426889247158,0.8899410216118039,0.2588416562927287,0.793075651517316,0.6925777024958675,0.8930940184894186,0.5835391114467051,0.7911471194465419,0.5287034958470235,0.8938491051203037,0.427185159486541,0.8946858227383114,0.4376645374584192
sc_metrics_LUAD-5 R1_LR_f1,0.1912795843003538,0.6029153115744192,0.3224404781112051,0.6231560853737973,0.4140267894998182,0.575809497425711,0.2009075755538103,0.4077272874050215,0.4363066800400995,0.4482433856919719,0.619472607857142,0.6164793388464692,0.6674425172482783,0.3300956134843396,0.5768176705487266,0.2806335511231698,0.3278586388054613,0.6240429889920256,0.0460510015533097,0.4901211714299583,0.3261347412673085,0.620768156793276,0.2666513455519373,0.479661812450257,0.2366021214743196,0.6194482937212404,0.1693511550670986,0.6355036216447026,0.1951335359841524
sc_metrics_LUAD-5 R1_RF_acc,0.4562559947756168,0.8452276484153385,0.5895083773800535,0.865410909981429,0.6413338503295851,0.8296769453684618,0.4789494091957307,0.6455378461664047,0.7811677312707904,0.7232505459072264,0.870951613232383,0.8827983102385666,0.8877369849594906,0.5943552172404645,0.8939103283606457,0.5723556662108936,0.6037835962531377,0.8332380971816902,0.1412828309626334,0.7850452031591192,0.7767698618395543,0.8660333462582396,0.6239260423256668,0.808759004918267,0.5042652190771617,0.8631966694557254,0.436756392726679,0.8821044468480235,0.4196036815575192
sc_metrics_LUAD-5 R1_RF_f1,0.1910849521196603,0.5333178436743542,0.2869883274906962,0.5525448506628332,0.3036395364514282,0.5213347271114888,0.1990145759235503,0.293375313180862,0.4708193955330666,0.3805797422735196,0.5491283092583745,0.5891914918456043,0.5853325798303807,0.2872788873890817,0.5928986276814917,0.2715683817608032,0.2959667558146695,0.5133409922145461,0.0636410631578876,0.4734951095026405,0.4392772940768428,0.5583219781188332,0.3124351522390255,0.4879257881853819,0.2179536190313564,0.5506923279270358,0.186112403777601,0.5795367991276339,0.1842347678142059
