,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,INSTINCT,NicheCompass,stClinic,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_PAS_kmeans_mean,0.2734281926965726,0.8896731871334856,0.9666566652403688,0.2495119071038256,0.3286624221254495,0.929610524870214,0.8221601486340788,0.2820281238137275,0.9950082588862754,0.6795992896901847,0.7795720782065548,0.2770071951883779,0.4247338974505844,0.3892703373279212,0.6140212127739234,0.615569276514375,0.840417852324739,0.2254258623060203,0.3975237049275235,0.570369499941004,0.1758459942969303,0.2290986875418079,0.2521725288093545,0.3311367464518347,0.2237595562488636,0.2737788321574151,0.3779386626144405,0.1885817807246434,0.0406593245086671,0.4954103357389609,0.9482986086982536,0.0253459955773493,0.6914605922192123,0.211344187706394,0.1995293415164566,0.8707822075830173,0.1640656843701799,0.8666453984911141,0.2957803956689,0.4510304082299389
downstream_metrics_PAS_kmeans_std,0.10016124736177,0.108728824235316,0.0284813547170883,0.108037784795359,0.1062391362792203,0.0392181133333228,0.08140473689774,0.0649827295492014,0.0052179553129678,0.0904051028378193,0.0752806571688264,0.0813326725550933,0.0857252418397278,0.0841291384000543,0.0706313570535115,0.0784631986316499,0.0980689931066524,0.0421569256094259,0.123284649970959,0.0723025816245875,0.0422293318203969,0.0575582665427986,0.0881529333314785,0.1366868398154474,0.0571535860081093,0.0692183662729234,0.074437898244949,0.0768563302597013,0.0295700374895825,0.0895913119824693,0.0216371106566617,0.0194425394745585,0.1399485203457285,0.0618662170516108,0.0470125755441383,0.0476133174314808,0.0557300826525423,0.1140017632777387,0.0669371193568125,0.0932951093705301
downstream_metrics_CHAOS_mclust_mean,0.1538826560974121,0.2593064163128535,0.3095155386130015,0.1534083833297093,0.1638573580980301,0.2365006168683369,0.2050431366761525,0.1600877088308334,0.2622045729557673,0.2104999703168869,0.2302355313301086,0.1627349811792373,0.1848792018493016,0.1771406424045562,0.1539633905887603,0.1583966360489527,0.1554762530326843,0.158092959523201,0.1714882606267929,0.1629619495073954,0.1521810871362686,0.1545878982543945,0.1589252976576487,0.1799018063147862,0.1675930392742157,0.1627254074811935,0.1618868879477183,0.1536855977773666,0.1760064711173375,0.1879683208465576,0.2679603296518326,0.1486712543169657,0.219437217315038,0.1774960285425186,0.1593139751752217,0.190584149758021,0.1538064906994501,0.2462474427620569,0.1720575608809789,0.1894461395343144
downstream_metrics_CHAOS_mclust_std,0.0222604667954359,0.0401004677953402,0.0523122043029849,0.0246912110604362,0.0260465256708669,0.0415420190760409,0.0313366638503194,0.0235676270794791,0.047241935990568,0.0402942249507302,0.0374811203076042,0.0270386140611434,0.0330042675731697,0.0286365064381719,0.0229813798579239,0.0247468816446338,0.0228998538045701,0.0235410886972316,0.0282183343340913,0.024640155515471,0.021667104120381,0.0249815151455261,0.0251035444223956,0.0299599287563244,0.0272113824770604,0.0239851116643428,0.0242725606407708,0.0227730931290869,0.0281988229172074,0.0308543312407011,0.0609850934003001,0.0208652830795804,0.0491288990394859,0.0323729387252818,0.0247289771400201,0.0379991780061672,0.0226438453098396,0.0542638319293529,0.0281528518740573,0.0333845323335969
downstream_metrics_PAS_mclust_mean,0.1195302940255848,0.8897882276392215,0.959267714204855,0.08071742568439,0.1523381285157796,0.825831264979981,0.574178384480544,0.2420796473400633,0.8316755807169689,0.4894098191616503,0.6671265901152228,0.1740370981598716,0.3583809582845429,0.441526850349726,0.1055731432335008,0.2445854713032759,0.1184342550684055,0.1809694921076362,0.3664038391358625,0.2380060990318075,0.0918904962455475,0.1624734249835484,0.1965825980007026,0.3504113115364008,0.1906296951562387,0.2548979772682399,0.2709703594600191,0.1286451530421186,0.040749464565952,0.3298178276620807,0.9402042140411336,0.0278181024791118,0.4814597338543736,0.2485230281551091,0.1661397201617399,0.4297162185431729,0.1387346347778322,0.8070716098645956,0.2807566785779286,0.4338194683792224
downstream_metrics_PAS_mclust_std,0.0528965034579606,0.1144400964724894,0.041027380700337,0.0430130851521697,0.0591753341259342,0.0559572549510887,0.1248637151581464,0.0353206951008481,0.0585485171017582,0.0936300428152883,0.0846976536379044,0.1041304878658126,0.0736537119170817,0.1015267448332588,0.0242312587661631,0.0993426431196493,0.0760104011043589,0.0415766328190544,0.1201556605053665,0.0459828062798572,0.0168441339298456,0.054406803301156,0.0916086335208737,0.1155531790613528,0.0533381992962996,0.0819319294016171,0.1062310060412931,0.0646763459535261,0.0295885391116102,0.0956647823058753,0.0221487749161448,0.0221819244588011,0.0918540515466458,0.0459927755196861,0.0501084919209667,0.1005367835765339,0.0467642478391612,0.1439089080427821,0.0608323763016114,0.0831988463961909
downstream_metrics_CHAOS_leiden_mean,0.1551875219742457,0.2526668540636698,0.2897606545686721,0.1531430569291114,0.1629897210995356,0.2433011253674825,0.2422636383771896,0.160513723095258,0.334352669318517,0.2436640886465708,0.2205246516068776,0.156915369828542,0.1816008178393046,0.1731212002038955,0.1546078942219416,0.1829820134242375,0.2480283536513646,0.1599453361829121,0.1785787566502889,0.1848229525486628,0.1508654628197352,0.1517735038201014,0.1606849400202433,0.1708405542373657,0.1634265186389287,0.1594512389103571,0.1631899044911066,0.1532344750563303,0.7057152128219605,0.188349733153979,0.2732619029283523,0.1482447849710782,0.2316131464640299,0.1597142499685287,0.1596011741956075,0.2278903337319692,0.1524321297804514,0.2730338370800018,0.1734182526667912,0.1830841519435246
downstream_metrics_CHAOS_leiden_std,0.0224431198193337,0.0387617846503903,0.0478091339742849,0.0237938211887586,0.0223814814511,0.0478518828068337,0.0397861776419823,0.0258593822714089,0.0620866932224287,0.040165790551769,0.030404943865902,0.0252897548181521,0.0272742003787735,0.0255779764940812,0.0208490019957705,0.0326187624039512,0.0562493951075382,0.0262990693067351,0.0330197782434845,0.0296159645599609,0.0217183701844871,0.0233366648077689,0.0278936680576114,0.0272333735998823,0.0257787170652686,0.0256986996913478,0.0271909638445639,0.0212599769069718,0.140981754607857,0.0282168591569418,0.0593251299745456,0.0208838049277202,0.0523744737469901,0.0271886003507147,0.025318749284844,0.0474649060406495,0.0226013520718785,0.0624993282310651,0.0292181340001428,0.0305436602264815
downstream_metrics_PAS_leiden_mean,0.1463144285486236,0.8853104261384857,0.94354177747265,0.0582607299886327,0.1174696146392544,0.7565991309761486,0.7593032325670374,0.229502766109656,0.9917336083287736,0.7448102933958106,0.6457673145956545,0.1456289071546024,0.3376419325491797,0.3187340572149214,0.1822689794117585,0.4572092113776111,0.872410656016437,0.2471286044993958,0.336327382751589,0.468769215606609,0.0890640189845531,0.0875396921942869,0.2074367604247695,0.2762567598584327,0.1349101433872431,0.171421033813954,0.25521697803847,0.0924083643946453,0.9996358465138664,0.4157492093399028,0.9396825118647744,0.0150818354056923,0.6456830645863727,0.1072499307541405,0.1775718231607482,0.8340979851183749,0.1189299748064042,0.9112990478093242,0.3174356513606522,0.4008150726682688
downstream_metrics_PAS_leiden_std,0.0754114486896162,0.1188242420888841,0.0447317762828816,0.0408905484126261,0.0681618089817536,0.0776617797990764,0.1582704741518981,0.0429226512799445,0.0115705996464311,0.0964116747602494,0.093070752756778,0.0965187699163502,0.0585428540537649,0.0845144891751644,0.0718110524508122,0.0962413889675421,0.1402905256570958,0.0673948948068072,0.1334057669244176,0.0808702796856673,0.0374510402556874,0.034503758093149,0.0891057478303685,0.1215483520035775,0.0556933703702671,0.0663149366239003,0.1039093512538154,0.0479666551402035,0.0019393469657345,0.086742897556325,0.0216116779485661,0.0149407856448082,0.1602442585684682,0.0433976551841518,0.0599660847342343,0.0879463422733431,0.0477164838270092,0.0713037729211779,0.077390818752666,0.0574712375483198
downstream_metrics_average_confidence_score_mean,0.9993506669998168,0.9240648150444032,0.74085932970047,0.8609540462493896,0.8654903769493103,0.7913145422935486,0.8561077117919922,0.9113453030586244,0.812802255153656,0.9262234568595886,0.6652594208717346,0.8066179752349854,0.8903840780258179,0.8153008818626404,0.899196445941925,0.944634199142456,0.9971666932106018,0.9645029902458192,0.959647297859192,0.9861937761306764,0.9634914994239808,0.996529459953308,0.9602566361427308,0.918184220790863,0.9635984897613524,0.9441192150115968,0.95668625831604,0.9019776582717896,0.9994760751724244,0.977434515953064,0.9997441172599792,0.8377730250358582,0.8434235453605652,0.8143442869186401,0.9602981805801392,0.9999291896820068,0.8417015075683594,0.9983540177345276,0.9341235756874084,0.936578094959259
