,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_slice_wise_average_PCC_mean,0.4230901896953583,0.384069412946701,0.5164272785186768,0.4393929839134216,0.5300159454345703,0.393348753452301,0.4458211064338684,0.3544832468032837,0.3432350754737854,0.3833290338516235,0.5037832856178284,0.5508007407188416,0.5921120643615723,0.5035312175750732,0.446746677160263,0.432445228099823,0.5105717182159424,0.4859171509742737,0.439983069896698,0.4700945019721985,0.6342419385910034,0.3805090188980102,0.4207515716552734,0.4278530180454254,0.481616735458374,0.4931617379188537,0.5624310374259949,0.4121018350124359,0.3016125559806824,0.5526077747344971,0.4032607078552246,0.4203323721885681,0.3098590672016144
downstream_metrics_slice_wise_average_PCC_std,0.0182583630084991,0.0365266799926757,0.0253574401140213,0.0204555690288543,0.0168149769306182,0.0248054563999176,0.0195462554693222,0.0387623459100723,0.0348314195871353,0.0413309186697006,0.0114991515874862,0.0122397541999816,0.0174002349376678,0.0202870965003967,0.0312277972698211,0.0226828027516603,0.0203699618577957,0.0307098031044006,0.026584967970848,0.0220522135496139,0.0166226029396057,0.0114808976650238,0.0212112218141555,0.0234584212303161,0.0194934755563735,0.0134093314409255,0.015912115573883,0.0107171535491943,0.0244926214218139,0.0107821822166442,0.0112384110689163,0.020654872059822,0.0262117087841033
downstream_metrics_average_matching_rate_mean,0.771725706945211,0.7691798682529081,0.6432651220197654,0.7407090567545558,0.6346000661676572,0.6394944855079583,0.720820246432331,0.6954142108690676,0.5121727695087245,0.6293152564027471,0.6546940552846799,0.6795336060716123,0.6803183882196592,0.6945345547475698,0.8236411614688346,0.7831270552354497,0.7013228753122352,0.7616537911651979,0.8160149140811976,0.7801588008466049,0.7887020702437395,0.6626991165064158,0.8446993796305229,0.8170244485431426,0.7610450987627555,0.733328291335406,0.6597969173854931,0.8184507402634557,0.3923472234306785,0.8306955207500122,0.8389976513931325,0.7077393036201169,0.3990692336193763
downstream_metrics_average_matching_rate_std,0.0951822998690989,0.0505363418474566,0.0303764933996632,0.0424286053065149,0.027514248450451,0.0279618603182769,0.0108130585080438,0.0330153607838887,0.0104691919959476,0.0169057589581133,0.0361864813422365,0.0078715532607094,0.0001650662435093,0.0151265479332597,0.0031795369979456,0.0237573789151772,0.0177890167091687,0.0378031935026044,0.0033019668921005,0.0221732812554635,0.0049521035211667,0.0494644487040307,0.021818204162039,0.027231301030963,0.0158630289160774,0.0624287359218341,0.0404400178965663,0.0045133467370501,0.1121512859389978,0.0029661061665124,0.053490636511467,0.0323240566013776,0.1058817885271313
bio_metrics_geometry_cell_distance_corr_mean,0.2498884394245201,0.2092118118398934,0.0661721949994723,0.1715094555263392,0.05946588718134,0.0449234171970006,0.1253450005925938,0.1543114925768484,0.0171902252961773,0.0544711159058117,0.0655209200636956,0.1106512232653328,0.0998962982407623,0.0926678220416834,0.2331553440755767,0.2972053982186151,0.1034897028575824,0.1336225729621609,0.2141040778314889,0.1792344593763772,0.1709650100379275,0.0973827017097182,0.2079157540958501,0.3060294209891724,0.1704814998400343,0.1940037270383561,0.0454521352949321,0.2643144576550347,0.1261933261586184,0.2355192868309811,0.3661374084605313,0.1752066781367682,0.1458162504385174
bio_metrics_geometry_cell_distance_corr_std,0.0562657240658028,0.0261580944320323,0.0186119719943949,0.0406269841090625,0.0150579718918516,0.0197876026795732,0.0457111741131898,0.073164853501244,0.0105303382197039,0.0269622634545016,0.0143419032748578,0.0263214333686169,0.0147213474150893,0.0605914000648691,0.045159385772451,0.0262683123116905,0.0355115368545326,0.0413219354205127,0.0254042209472236,0.0531720693739152,0.0202379885556686,0.0409054939873327,0.0674432300090299,0.0424369123061748,0.0414582372476997,0.0500224553814725,0.0126272326304847,0.0194414645470675,0.0030768790899283,0.0321368542434448,0.0141316024634809,0.035960319091882,0.0332230627928073
bio_metrics_geometry_truthworthiness_mean,0.76177684636416,0.7359053498980298,0.5626362365351776,0.7200411120375737,0.5550225352806905,0.5710369282250158,0.5914115823738829,0.6723763701533642,0.5165339627658599,0.56453149827913,0.5585151724032085,0.5841807890524202,0.5752949488647044,0.5774540712188306,0.8307780389294427,0.7571035663049234,0.5846440465506557,0.6758701994281117,0.7475357433568023,0.6871634337041512,0.5967348470288186,0.5423117360611749,0.6754189672746254,0.675944559195445,0.6358304102744669,0.6327896149835478,0.5525118892019849,0.8090770312122836,0.6997642958151755,0.6896688043322335,0.7926787297988599,0.6059390439034072,0.6630607923067898
bio_metrics_geometry_truthworthiness_std,0.0231408019026947,0.0162113487497682,0.0100405056867282,0.0168096956910038,0.0105858293207772,0.0156587646916261,0.0225513156245497,0.0247075793042593,0.0042898573944666,0.0186956115452485,0.0089519201645429,0.0169444266093197,0.0120496054721811,0.013884065536464,0.0160439169031173,0.0176761829599435,0.0182237965599677,0.0238788395364528,0.0187769264463854,0.0265046381241913,0.0119669113087649,0.0097829839979605,0.0167999748815312,0.0198690825831877,0.0205751532783144,0.023226718930785,0.0058863727612607,0.0061109765167154,0.0071489767163213,0.0243971102159342,0.0083285309557842,0.0179860672958105,0.0164960692428231
bio_metrics_geometry_truthworthiness_decay_mean,-0.1070642437731121,-0.0842641529690449,-0.0050569602964105,-0.2071973453114407,-0.0174729104300729,-0.0172510853121742,-0.0107222847055946,-0.0882032894956142,-0.0004093689282055,-0.0082233178352815,-0.0083655791196205,-0.0101000010780071,-0.0094073829068067,-0.0066500628603177,-0.1929500854410887,-0.105623781969006,-0.0099128163127458,-0.1118677434613634,-0.1596944547375186,-0.0918494355284806,-0.007312290614102,0.003210349651171,-0.0377856766658412,-0.0058097427799253,-0.0319871724239831,-0.0132660813857343,-0.0172577257209826,-0.1419257558091447,-0.1993867068165426,-0.0534752134080349,-0.0504398367545897,-0.0191689756660254,-0.1066899467431701
bio_metrics_geometry_truthworthiness_decay_std,0.0079668988937046,0.0062211207550798,0.0011833889447485,0.0069251276836589,0.0029558933021473,0.0025297157956362,0.0010090941506399,0.0046090352410662,0.0010384095613505,0.0013928857086548,0.0017045626924093,0.0026013775287996,0.0024767305873169,0.0020348886622096,0.0183398179225772,0.0050236138182027,0.0018589985030037,0.0053997872786173,0.0089713361920028,0.0024882615808918,0.0014046987869983,0.0001292694904479,0.0049272368309486,0.0016513769020205,0.0018544866154117,0.0029187513912485,0.0039013483427932,0.0127647372679248,0.0083391249232468,0.0039563227415365,0.0025883113700861,0.0042649493726399,0.0057731657591442
