,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,CELLama,Scanorama,scVI,Harmony,STACI,stClinic,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SpaBatch,SIMVI,SEDR,scNiche,PRECAST,MaskGraphene,MENDER_wo_pcs,GraphST,GraphPCA,DeepST,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_PAS_mclust_mean,0.0544472099729025,0.1549736912829575,0.6230239024811409,0.096040109684142,0.2720214973069026,0.1813566577249085,0.8650825365981999,0.3672312620968407,0.3873914627113985,0.4610715952974338,0.0564625843349318,0.2443577300143056,0.5034105132806589,0.2011267295281232,0.1356054060053993,0.1430748912252347,0.1226480458286297,0.2637678444220582,0.2090827731388501,0.3856671141848504,0.2499498164513119,0.1457084086428126,0.1682014752342506,0.7342113326361787,0.3900606739087645,0.1249773620266395,0.0686241827909097,0.1748771662882429,0.1221049193673179,0.2270276780260643,0.0649086251841213,0.0977873444193877,0.894529047034978,0.2878503874031281,0.0764743072585146
downstream_metrics_PAS_mclust_std,0.0204573048226745,0.0605040333058915,0.1252860292794937,0.0140280354755571,0.04983295258368,0.0282538632010127,0.0691411361200831,0.0884871052425095,0.0436081894924888,0.0747887906378404,0.0112146054001072,0.0494952406833812,0.0674822044799244,0.0369709061197074,0.03644955026147,0.0230881179035614,0.0355460363318524,0.1319182249990847,0.0301218434105692,0.1334226092633541,0.0328589522085413,0.0491517592025846,0.0419482308498378,0.1658584888898822,0.0551994118570991,0.0264759018699569,0.0371242873502993,0.0442662528857758,0.0371306059819415,0.0431815706719277,0.0366995482006845,0.0185988963208572,0.0941992924249497,0.0610879072456357,0.0315875907452269
downstream_metrics_CHAOS_leiden_mean,0.0391064373155434,0.0423297838618358,0.0776902555177609,0.039799865335226,0.0510487519204616,0.0445367113376657,0.0951992484430472,0.0514830624063809,0.0634239545712868,0.0629607917120059,0.0397474455336729,0.0452300362909833,0.0570757326980431,0.0421087204789122,0.0416203051184614,0.0403281807278593,0.0401059395323197,0.0473610538368423,0.0459125988806287,0.0438906149938702,0.0459772891675432,0.045694846039017,0.0485406725977857,0.0903805345296859,0.0684947557747364,0.0407143666719396,0.0410971771925687,0.0401682664329806,0.0403951092933615,0.0430836870024601,0.0396676283950606,0.0417273625110586,0.080727057531476,0.0540010528638958,0.0409656359503666
downstream_metrics_CHAOS_leiden_std,0.0189046795468364,0.0215309841224811,0.0428620984308214,0.0187123136811804,0.0233966114493819,0.0188084025357672,0.0429304632335702,0.0230085655677184,0.0314853284723028,0.0319200742642526,0.0188203613536943,0.0223541817705407,0.0278623628220992,0.0202004296826475,0.0202135151866886,0.0193604969143906,0.0184915413611341,0.0168374386513699,0.0233919768879532,0.0204442513741905,0.0189362312357591,0.0209199378751047,0.0209258268058951,0.0368186763101577,0.0317773419457886,0.0202347133136075,0.0197350568558373,0.018856713571177,0.0192784977196059,0.0204447577246115,0.0187754103429643,0.0202625927808726,0.0324738633430751,0.0281135214262386,0.0214762814013387
downstream_metrics_PAS_leiden_mean,0.0260451739158734,0.1288655205331577,0.6435429135018692,0.0425492618254499,0.1889222648510528,0.1836660712197891,0.8659561658959988,0.3066000719558016,0.4049717081483375,0.4185742904410199,0.052379723049567,0.2121600201400753,0.397881214847005,0.1688636531134631,0.1092309343899782,0.0593981279453774,0.0682821833673533,0.3006899873620131,0.14210173496774,0.1828075139376837,0.2117509322803877,0.1889074958136936,0.1955172974614368,0.8760248831711531,0.6342435145916729,0.0541154826788697,0.0470829019789614,0.0493160400919636,0.0439240903063145,0.1853662814886276,0.0807364032538215,0.0752485826184622,0.8996444095010835,0.2966867112672789,0.0874568574083975
downstream_metrics_PAS_leiden_std,0.0141401895494503,0.0517274939944431,0.1140584492972567,0.0074089900047155,0.0239220886896679,0.0480939144216731,0.0684660039986181,0.0953713843712592,0.0626949845550123,0.0948877126943094,0.0249207677445832,0.0368009912429875,0.0638439199205795,0.035754516797777,0.0252932030147575,0.0203849235438249,0.0337820710539111,0.1527071601097359,0.030447375583778,0.0537554278077778,0.0356119436900724,0.0574863982073212,0.067046868438313,0.1054727160666336,0.0809961200025932,0.005984706386913,0.0278155902356662,0.0246900752164217,0.0064857132612997,0.0536536405133097,0.0200944927940884,0.0268190867328,0.0737406786636342,0.0799277706755879,0.0441225754481793
downstream_metrics_average_confidence_score_mean,0.9318728446960448,0.9396599531173706,0.7445487380027771,0.6517736315727234,0.6615025401115417,0.96751868724823,0.7715707421302795,0.7813472151756287,0.8983787298202515,0.8019047975540161,0.6303226351737976,0.9867646098136902,0.9775978922843932,0.9664894938468932,0.9639410972595216,0.983488917350769,0.8200100660324097,0.7306264042854309,0.9722711443901062,0.9348289370536804,0.9495561718940736,0.9188044667243958,0.9088942408561708,0.9423933029174804,0.9844412803649902,0.9918144941329956,0.6769596338272095,0.7723082900047302,0.8670209050178528,0.975295066833496,0.9852596521377563,0.807038426399231,0.8057771921157837,0.9361888766288756,0.8020097613334656
downstream_metrics_average_confidence_score_std,0.0661422982811927,0.0192048735916614,0.0339972302317619,0.1360155493021011,0.0842430368065834,0.035600196570158,0.0615532435476779,0.091960996389389,0.0364530496299266,0.0307445935904979,0.3171134293079376,0.008638996630907,0.010313699953258,0.0079849269241094,0.0193474907428026,0.0066916309297084,0.112214908003807,0.3030514717102051,0.0138804893940687,0.1003054305911064,0.0209208820015192,0.0497421808540821,0.039487462490797,0.0448050014674663,0.0192794445902109,0.0071222386322915,0.1410516947507858,0.1824841499328613,0.0361385084688663,0.0112418672069907,0.0187112502753734,0.0781255215406417,0.1469413340091705,0.0250665433704853,0.2164983451366424
downstream_metrics_slice_wise_average_PCC_mean,0.516370415687561,0.5255195498466492,0.5488171577453613,0.5333136320114136,0.5266026258468628,0.4170962870121002,0.5052679777145386,0.5714246034622192,0.550707221031189,0.5639814138412476,0.4789022803306579,0.5317161083221436,0.5432298183441162,0.5442934036254883,0.5412692427635193,0.5477845072746277,0.5579422116279602,0.5059927701950073,0.5378135442733765,0.4830425381660461,0.552453339099884,0.5474099516868591,0.5550877451896667,0.4151408076286316,0.5234845876693726,0.4480690360069275,0.4932436048984527,0.5492486953735352,0.5572668313980103,0.5520229339599609,0.5123627185821533,0.5535646677017212,0.4122532308101654,0.5488885641098022,0.4982257485389709
downstream_metrics_slice_wise_average_PCC_std,0.0945194438099861,0.0847205370664596,0.0838049501180648,0.0896694660186767,0.0941716879606247,0.0775494650006294,0.0873882919549942,0.088563323020935,0.087793081998825,0.0866439640522003,0.134348377585411,0.0868378356099128,0.0870406776666641,0.0851914212107658,0.0865989103913307,0.0871313661336898,0.0829473137855529,0.0728014633059501,0.0859602689743042,0.1071466282010078,0.0832305327057838,0.0861576274037361,0.0855659618973732,0.0664295479655265,0.0800247564911842,0.0711067169904708,0.079745814204216,0.0864747688174247,0.08340635150671,0.0840225964784622,0.0852563753724098,0.0852359309792518,0.0623640827834606,0.0854077264666557,0.091781310737133
downstream_metrics_average_matching_rate_mean,0.3783489322460658,0.4529959182528497,0.4818049725679956,0.4551504086790174,0.4420648287867707,0.0993554569835524,0.2932239943505513,0.5316912214937625,0.515537692543344,0.5392886775637804,0.3372152997092576,0.4888726673096677,0.5226161638872584,0.515417361446154,0.4857333730759124,0.5110893268135601,0.5170220108155503,0.3098361030438412,0.5124774521691602,0.281094757703301,0.5389267168483912,0.5215155063161468,0.5202592044080754,0.0611373738624545,0.4073242990535749,0.1611473449924296,0.330490079542504,0.4995016095614368,0.5317272304852636,0.5279559962383514,0.3230327048801678,0.5324326031879022,0.0622212904604835,0.5197016382418234,0.3420269002369789
downstream_metrics_average_matching_rate_std,0.1371202758876854,0.150344557028687,0.1667007874592335,0.1831125913375262,0.1947481607527068,0.0270294751561032,0.0997164860772548,0.1809810170261346,0.1767966091647338,0.1860310320399985,0.2266437015573717,0.1695101134334795,0.1796932828665267,0.1818306761869762,0.1710419733824886,0.1977024542427787,0.162290101527433,0.141706073613969,0.1853232462961897,0.1827358776192465,0.1887311174886092,0.1640528575424907,0.1880104599845652,0.021665870713987,0.1402591154630579,0.0401116757019639,0.1259619854574958,0.16655435272574,0.178498291484051,0.1806122776136761,0.1253652271357114,0.1754936501964521,0.0206326208725444,0.1841321493533236,0.1895445733165858
