,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,Scanorama,Harmony,STAGATE,SPIRAL,spCLUE,SpaVAE,scNiche,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
bio_metrics_scgraph_scGraph_Corr_Weighted,0.842627531712709,0.3816549464915655,0.8860533776448248,0.9209674491406672,0.934320407183991,0.877638541005599,0.943827765719646,0.9300597400970674,0.7769373070219018,0.6893043521857003,0.6712175575340141,0.827948341863018,0.8527449822737196,0.9195957138796392,0.687169737869628,0.933662600754834,0.6976195915115799
sc_metrics_BALBc-1_KNN_acc,0.5587749751159233,0.5327377339710131,0.841203175450948,0.5825180257823311,0.8327183122526766,0.8431210701366804,0.8431696244325216,0.59750916462334,0.767740525843024,0.7565730377995193,0.7293219392585759,0.6248330946080455,0.5347770143963487,0.7095360637032362,0.5303707120487485,0.8272438153965672,0.4112306086280983
sc_metrics_BALBc-1_KNN_f1,0.1150174545430834,0.0958944190112664,0.5779504889820449,0.1810158385034517,0.5804577270721888,0.5886700297395956,0.5863920323259835,0.221011577035689,0.4310800653536084,0.4429581353057866,0.2543522698828762,0.1549529815143805,0.0890539142362535,0.3439208007306177,0.0889896669349791,0.5440466910794095,0.0583884073431545
sc_metrics_BALBc-1_LR_acc,0.5772498846835474,0.5443422106770897,0.8470054138039863,0.592410963560001,0.8183462406836445,0.8401956738122406,0.8403777524216455,0.6122575319851424,0.8381321162389842,0.7826831103881916,0.7387293340778326,0.6167973586463062,0.5565414775072225,0.7379281881964507,0.5419144958850234,0.8315408705785244,0.4696778422470928
sc_metrics_BALBc-1_LR_f1,0.1425859257934307,0.0864811578728411,0.6099523027214665,0.185013622742847,0.5437127869993267,0.5828537622114754,0.613171918468677,0.2539107372263996,0.5700207186018613,0.4319955027335747,0.197025764731369,0.0956704464994903,0.0935867209235347,0.3823968370574583,0.0948129403166953,0.5751926277246591,0.0805704716055152
sc_metrics_BALBc-1_RF_acc,0.5713626763127868,0.5401179869388945,0.8414580855041149,0.5663615838411303,0.7794421111407832,0.8457915564079532,0.8388118763807628,0.6066859265373504,0.7855356752688694,0.769100046126581,0.8193537423223519,0.6335121749896823,0.5509091791896288,0.7392877084800078,0.5353111116506033,0.8293680658396252,0.4478648248403777
sc_metrics_BALBc-1_RF_f1,0.1079503489920204,0.0958394651946807,0.5657862411364896,0.0993947494203747,0.3661168700254849,0.5650517684128913,0.5653368751119745,0.2208295558000318,0.42986424051655,0.4466952137478408,0.4490418291450017,0.1654404806133798,0.0814861185445932,0.3354801031979922,0.1034665370148572,0.5320960126931819,0.0703272790564099
sc_metrics_BALBc-2_KNN_acc,0.5539334757400061,0.520207506866036,0.8290021361000915,0.5773695453158376,0.8238266707354287,0.828721391516631,0.8365822398535245,0.5979493439121147,0.7493805309734514,0.7367470247177297,0.7345254806225205,0.6023314006713457,0.5192187976808056,0.6895575221238938,0.5238815990234971,0.8202868477265792,0.3987549588037839
sc_metrics_BALBc-2_KNN_f1,0.1287832474679504,0.1029831182614465,0.5875517965296589,0.2164034132719352,0.577607429532719,0.5812280605867127,0.5926201185686795,0.2388517697520231,0.4324167830813209,0.434700716136462,0.2619370209850156,0.1807377455799212,0.1010615881641486,0.3423271474888015,0.0975316744526838,0.5372670029639378,0.054383176159881
sc_metrics_BALBc-2_LR_acc,0.5722429050961245,0.5393225511138237,0.8395239548367409,0.6003051571559354,0.8286359475129692,0.8331522734208118,0.8382056759231004,0.614891669209643,0.828660360085444,0.7670918523039365,0.7123710711016173,0.6046139761977418,0.546377784559048,0.7119682636557827,0.5430088495575222,0.826023802258163,0.4519743667989014
sc_metrics_BALBc-2_LR_f1,0.1628086834483886,0.0925283756679238,0.6030904404840446,0.2358823857147592,0.5300937053986295,0.5668727901565869,0.60880596508083,0.2722674317999198,0.5502239947973041,0.3985050367356005,0.1752713841661926,0.1080414045252047,0.1177184670696127,0.3770533450999209,0.0907229335620693,0.5476732527376592,0.0735068813292009
sc_metrics_BALBc-2_RF_acc,0.5651754653646628,0.5307415318889228,0.8283796155019835,0.5625511138236191,0.7903814464449191,0.8367165090021361,0.8317119316447971,0.6124504119621605,0.7594140982606042,0.750051876716509,0.8150869697894416,0.6094964906927067,0.5370155630149527,0.7148123283490998,0.5312297833384193,0.8214098260604211,0.4274031126029905
sc_metrics_BALBc-2_RF_f1,0.1194521605622961,0.1036652116302271,0.5536391238710324,0.1188946876866688,0.3777716545505239,0.5616596312060024,0.5533126913627611,0.235238437046433,0.411922297662076,0.4288564807067371,0.4537976177326253,0.1909163762900096,0.0904821839602994,0.3389615868541889,0.109060942885414,0.5176230510827995,0.0618916421776231
sc_metrics_BALBc-3_KNN_acc,0.5647561532856631,0.5433786570832253,0.8434786904276734,0.5965074778012424,0.8201499265187161,0.8431946451286231,0.84678843565139,0.6148839736702357,0.7782964691934349,0.748508762179986,0.7195484914724661,0.6180578711422327,0.548355624714411,0.7024440245513937,0.5418719820186976,0.8298568658688699,0.4212762278784286
