,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,scNiche,PRECAST,MENDER_wo_pcs,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_average_confidence_score_mean,0.9697709679603576,0.9623137712478638,0.839923620223999,0.7015552520751953,0.7381512522697449,0.8723649978637695,0.950583517551422,0.967496931552887,0.8491016626358032,0.997366428375244,0.8237349390983582,0.869855523109436,0.9623188376426696,0.8798072934150696,0.9472982883453368,0.9963372945785522,0.9672824144363404,0.9923549890518188,0.9708666801452636,0.7769643664360046,0.9994301199913024,0.9901503324508668,0.9999953508377076,0.958946168422699,0.9938793182373048,0.9969897270202636,0.759476363658905,0.8349227905273438,0.9988538026809692,0.9603185057640076,0.9779635667800904
downstream_metrics_average_confidence_score_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_slice_wise_average_PCC_mean,0.3902308046817779,0.3100221455097198,0.6313762664794922,0.4026427567005157,0.6364275813102722,0.599746584892273,0.6200252175331116,0.3222433626651764,0.6310693025588989,0.6009655594825745,0.6408874988555908,0.7133493423461914,0.6324125528335571,0.6599190831184387,0.3976346552371979,0.6053438782691956,0.4701831042766571,0.3847818374633789,0.4350816011428833,0.634718120098114,0.5427206158638,0.5680113434791565,0.5456014275550842,0.619997501373291,0.2296178489923477,0.6034533381462097,0.3469899892807007,0.6304221153259277,0.2258174419403076,0.6415247917175293,0.2805058360099792
downstream_metrics_slice_wise_average_PCC_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_average_matching_rate_mean,0.8246804069919124,0.8525019566918862,0.6602348030263501,0.7907122358465953,0.6307018001565353,0.5931228802504566,0.6242629793895121,0.722181059222541,0.6092564570832246,0.5755909209496478,0.6215079572136708,0.6967805896164884,0.7189459953039394,0.6767440647012783,0.8545786590138272,0.6422749804330812,0.7986537959822593,0.829981737542395,0.8065536133576833,0.7076441429689538,0.5698408557265849,0.8397704148186799,0.7355700495695278,0.8168849465170884,0.3554396034437777,0.6113853378554657,0.903939472997652,0.8675502217584138,0.3655622228019828,0.8224158622488912,0.5148343334202974
downstream_metrics_average_matching_rate_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bio_metrics_geometry_cell_distance_corr_mean,0.0771541077289144,0.1108632526881885,0.0301400894825586,0.1058677553921234,0.026200807168071,0.0222132305300598,0.0209977582438301,0.0746779454042708,0.0238969321083116,0.0095023236184823,0.0203963299202921,0.021937932581749,0.0376985129983151,0.0238859004629274,0.1747158116303428,0.0183424689082811,0.0433293190327245,0.1264094789703337,0.0446017676732146,0.0664806706234939,0.0169453890451471,0.1170641511470721,0.0266436712240262,0.0627124646629349,0.0598994138781439,0.0139752745753074,0.1583683507233354,0.1047272329988191,0.0435351178403476,0.0493616391086988,0.1353981533793415
bio_metrics_geometry_cell_distance_corr_std,0.0230293068179006,0.0137438160580773,0.005141639090492,0.0232802412500555,0.0065392394330632,0.0033258880074964,0.0023314332254301,0.0125257859272166,0.0048323867408029,0.0016013773448432,0.0051175143913059,0.0056047467022196,0.0118611574332204,0.0042866389915897,0.0330322130841445,0.001765179043077,0.0174787756331363,0.0228982352054232,0.0164288005139736,0.0175792121760987,0.0033346213982285,0.0230764451780117,0.011514011815997,0.015459305714774,0.0060655639389514,0.0022093184451696,0.0476121046642985,0.0344922183668508,7.551240288107552e-05,0.013154602491669,0.0662282207713252
bio_metrics_geometry_truthworthiness_mean,0.6916090802497894,0.6685034796745808,0.5399897514712875,0.6613695465672187,0.5355407737805271,0.5475743348831146,0.5349536509790519,0.6266642811507317,0.530462617994983,0.5251102369471483,0.5342696322254479,0.5494263981672434,0.5518357655878773,0.5408996041399254,0.6573225233602713,0.537864792274198,0.6178444370180523,0.7012766022232317,0.6197810372243602,0.5507586372796549,0.526115783618206,0.607216606279455,0.6060972850000559,0.5848589218339497,0.5790124694430929,0.5327700556802746,0.6982031673306985,0.6175732156034668,0.6018864005300215,0.5757561595457396,0.6741507406344717
bio_metrics_geometry_truthworthiness_std,0.0075456356975953,0.004765799987779,0.0048718596997783,0.0075892486411322,0.0051258620016647,0.00298716887436,0.0036146025203003,0.0078839942233204,0.0045304085141287,0.0026759668771461,0.0030974474525465,0.0048838301641042,0.0068916581284926,0.0055015355318343,0.0093364773107876,0.0037235176410309,0.0066295077917465,0.0034893086676969,0.0072974337338213,0.0056659641139075,0.0022379930915201,0.0050423616694869,0.0003113375709155,0.0076529873794617,0.0076844478914681,0.0023156497645756,0.0196303729397261,0.011371659068655,0.0036939628935149,0.0082227453273536,0.0121286266675276
bio_metrics_geometry_truthworthiness_decay_mean,-0.1656255102510581,-0.0972485990711807,-0.0053338394261869,-0.1679665953891947,-0.0084938118023757,-0.0159846819505459,-0.0060816466976802,-0.0987316436221441,-0.0035357203661479,-0.004092076652338,-0.0064115737756728,-0.0113728909144618,-0.0090520465612737,-0.0085397231663664,-0.0787544998649869,-0.0045946287674315,-0.0970095252493895,-0.1800270862077924,-0.0981853241228575,-0.0059851706426298,-0.0004363336231764,-0.0338529846325704,-0.0329395780180586,-0.0277190744948598,-0.0164791954670163,-0.0075617096944711,-0.123089924448784,-0.0434318740228475,-0.0518491198045883,-0.0287619187018085,-0.1322735537070757
bio_metrics_geometry_truthworthiness_decay_std,0.0047107583899074,0.0064063673455628,4.544247438193318e-05,0.005127332843853,2.7192701267975648e-05,0.0026399077496434,0.0002041607429595,0.0035978395353182,0.0001886335393179,4.697676418846273e-05,0.0001849766824449,0.0003511593836684,0.0003542720639775,0.0009328456299404,0.0059097542306307,0.0005541969347309,0.0048220539176742,0.006963464355488,0.0025617762509587,0.0007989342973341,0.0011054968281507,0.0046278174256164,0.0031743197288909,0.00120031769593,0.0018738203127256,0.0011835144645844,0.0041369395949004,0.0024859683961695,0.0048542890271576,0.0009828347631509,0.0083884075733799
bio_metrics_scgraph_scGraph_Rank_PCA,0.93,0.8400000000000001,0.91,0.8699999999999999,0.9,0.82,0.93,0.8899999999999999,0.97,0.8200000000000001,0.91,0.96,0.91,0.95,0.86,0.89,0.96,0.92,0.95,0.8899999999999999,0.78,0.9,0.91,0.8899999999999999,0.5768832639708952,0.8699999999999999,0.86,0.92,0.63,0.9,0.767039134083406
bio_metrics_scgraph_scGraph_Corr_PCA,0.9872247728399768,0.9140291460417443,0.9835566570327552,0.9561143775866096,0.9582950378427754,0.8928151460579505,0.9834941599762304,0.959860027439068,0.9804965098842212,0.9248083194980476,0.9581156443933846,0.988962968578272,0.9700212544983774,0.9806974272901208,0.9163365327334432,0.9717472254158398,0.9876782454948654,0.9857461385009814,0.98725645676713,0.958909520351041,0.8812976728998555,0.9533845673576492,0.9509573192885332,0.9647433426638704,0.7028898750121645,0.9526744580079042,0.95216227202533,0.9727184909822884,0.6771092990042643,0.9842133308375968,0.8803081682097332
bio_metrics_scgraph_scGraph_Corr_Weighted,0.9199844181183752,0.6567296955341672,0.8940210928760454,0.7908491352439297,0.8801657329926023,0.5208127173841632,0.9606301711050124,0.832603044881493,0.9680530634097289,0.7906791590529794,0.8655163274147768,0.9930632120331196,0.8164426357607415,0.9875958051770876,0.7038961957428137,0.8646780721344258,0.9386428052802508,0.9592314338642076,0.9050093244147152,0.8316559157700645,0.4970080989447664,0.8916507381606307,0.8640880012177856,0.9001376173494249,0.1457887637507155,0.7544707383365477,0.7204668171371471,0.9025710242409636,0.0760235500008666,0.8888788113568331,0.6539624416828221
