,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,Nicheformer,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_PAS_kmeans_mean,0.0522284747150284,0.0519744396461897,0.5189505434998029,0.1166574888957645,0.3337976634062995,0.7834953350640829,0.4472180556211539,0.1704360953350444,0.7709191023681823,0.5868513882900481,0.5685278465974217,0.3035989862687258,0.5008185026741714,0.1209414000309831,0.1185553622353907,0.0416338075301646,0.2219185851857358,0.1077182120589428,0.1670448543259622,0.110541923805452,0.1537702868750577,0.144344712885515,0.0874460607118709,0.0647181859723401,0.2646301945847813,0.1221658652318969,0.0809758876981243,0.5083801208173021,0.0423960354779106,0.050653276613138,0.0661593630888841,0.1178141747529407,0.0099816909362082,0.0810545589349543,0.1131207425772404
downstream_metrics_PAS_kmeans_std,0.0109944036218023,0.0049537964369759,0.0389837288006666,0.0192244695214051,0.0129494861577514,0.0110586555462457,0.0415277525612739,0.0039971709292077,0.0057145416706639,0.0350069885583243,0.0062810065212906,0.0151751096758351,0.021730122409665,0.0087702029200564,0.0096538932978084,0.0013118759406274,0.0089876663393239,0.0011588559221219,0.0249336835680685,0.0036901352153393,0.0009714971625009,0.0132139725604943,0.008704174029913,0.0286886755766325,0.0305274177559296,0.0198721026564442,0.0064553664936931,0.0297553587266281,0.0008668604276088,0.0008021224478947,0.0028144799694659,0.0177458520746917,0.002734606850512,0.0137811218162193,0.0025600085964684
downstream_metrics_CHAOS_mclust_mean,0.0135677470825612,0.013764654751867,0.0170794827863574,0.0143368272110819,0.0161462407559156,0.0178910605609416,0.0158342281356453,0.0143363401293754,0.0189978443086147,0.0183978723362088,0.0192535482347011,0.0167848085984587,0.0173045368865132,0.0144864623434841,0.0134592903777956,0.0136079308576881,0.0154668590985238,0.0140834902413189,0.0138870067894458,0.0141808222979307,0.0142035870812833,0.0139149157330393,0.0143713168799877,0.0139803658239543,0.0149770961143076,0.0149810998700559,0.0140514005906879,0.017833144403994,0.0137010952457785,0.013727756217122,0.0135737191885709,0.0136116063222289,0.013361485209316,0.0138054434210062,0.0140510573983192
downstream_metrics_CHAOS_mclust_std,8.778506889939308e-05,0.0001304098404943,0.0002237362787127,0.0002108458429574,0.0004119109362363,0.0003112368285655,0.0002115545794367,0.0001505799591541,0.0003489423543214,0.0003303522244095,0.0004096738994121,0.0003651613369584,0.0004105130210518,0.0002302038483321,7.42664560675621e-05,9.576277807354928e-05,0.0001808856613934,0.0001330277882516,0.0002025170251727,0.0001751258969306,0.0001474996097385,2.690870314836502e-05,0.0002166917547583,3.246264532208443e-05,0.0002680760808289,0.000205319840461,0.0001541073434054,0.0005309069529175,8.055288344621658e-05,0.000151296146214,5.5987387895584106e-05,0.0001330031082034,0.0001058536581695,0.0003978442400693,0.0001267818734049
downstream_metrics_PAS_mclust_mean,0.0311659146884299,0.0505313444933587,0.4164730297749603,0.1180775921613981,0.1214053481332417,0.2908602612044659,0.2158647995205302,0.1253036413460674,0.7316739606051712,0.5868892030627963,0.7997092227531081,0.3830743715951787,0.4758608812931597,0.1205492346004188,0.022536391219963,0.040988529717501,0.1669122987072468,0.0982350465750598,0.0664377598370467,0.1189682103814794,0.1519938704011684,0.0735723838255076,0.0938432992502212,0.046634712051202,0.2079697369878012,0.1544062550109107,0.0708146954048727,0.4454849615644839,0.045730747113429,0.0528354176594386,0.0487269485833059,0.0263176783277054,0.0105287554716812,0.0223656067814169,0.1280151221123039
downstream_metrics_PAS_mclust_std,0.0059479401746807,0.0055115797185795,0.0064931504993064,0.0130558753100975,0.0021090717192062,0.0113699862212331,0.0064557906873839,0.0021276128457501,0.0060401577882698,0.0350179756986111,0.0127206244969041,0.0116674124423799,0.0235891522413808,0.011281751315074,0.006573949905409,0.0011763231447311,0.0059196763061737,0.0122524845361597,0.0113892019335769,0.0024021473365431,0.002855224166236,0.0192732557235626,0.0099528107430718,0.0157829347205514,0.0100047767613603,0.0058348264394821,0.0045172965468375,0.026252127637394,0.0006066693132948,0.0055951658415673,0.0022187254609595,0.0028439581578747,0.0002559527778156,0.0130200404352161,0.0070351796985612
downstream_metrics_CHAOS_leiden_mean,0.0134214335121214,0.0137719293124973,0.0137341911904513,0.0140548800118267,0.0145174302160739,0.0194434914737939,0.0166548695415258,0.0144364163279533,0.0183890936896204,0.021113509312272,0.0185826402157545,0.0156663232482969,0.0166963376104831,0.0143208024092018,0.0134144127368927,0.0135537683963775,0.0157465902157127,0.0139959100633859,0.014211677480489,0.0139816682785749,0.0152006172575056,0.0155316214077174,0.0142280142754316,0.0141050699166953,0.0156962177716195,0.0166792748495936,0.0139991254545748,0.0174174681305885,0.0136534427292644,0.0136484024114906,0.0135557237081229,0.0139444363303482,0.0133588588796556,0.0146719585172832,0.0138937882147729
downstream_metrics_CHAOS_leiden_std,8.200248703360558e-05,0.0001365053467452,0.0003940849564969,0.0001174747012555,0.0001627607271075,0.0004600379616022,0.0004484672099351,0.0002276916056871,0.0001931237056851,0.0005444251000881,0.0003934912383556,0.0001355684362351,0.0005398727953433,0.0003892299719154,7.070600986480713e-05,7.432512938976288e-05,0.0003594397567212,0.0001483568921685,0.0003014146350324,0.0001671155914664,0.0002465019933879,0.0005129990167915,0.0002832068130373,0.0001411247067153,0.0003765155561268,0.0004876954481005,0.0001913490705192,0.0005022436380386,4.214746877551079e-05,0.0001457803882658,0.0001057316549122,0.0002054781652987,9.51695255935192e-05,0.00014065252617,0.0001445026136934
downstream_metrics_PAS_leiden_mean,0.0032274682042116,0.0463358617044776,0.0042457664340442,0.0628346936498368,0.0166217872360314,0.8191095094307979,0.3523806633662695,0.1621815603984553,0.7129892693725184,0.6832865453583996,0.5238224820103088,0.2667480346101465,0.2364271117898646,0.0073711800515323,0.0041836233675866,0.0266918505485763,0.2114771956123054,0.0894441714133973,0.1066519393556203,0.0491658303079256,0.1522444163459765,0.2980930533013446,0.0490447815976921,0.0446475325199615,0.2725727170597642,0.2872896752924948,0.064833693325178,0.3941553467339916,0.0263512436354171,0.0180447308973814,0.0526848966523753,0.0468847490290432,0.0104213778432965,0.0360423596022804,0.1090830552589854
downstream_metrics_PAS_leiden_std,0.0001154628386851,0.0086607848414646,0.0042457664340442,0.0014174860953006,0.0014105196303976,0.0056792229635683,0.0413416706377545,0.0110176347725708,0.0131099937185948,0.0002818505227188,0.0085718841868742,0.0197191949052504,0.0361684616507792,0.0059761431635376,0.0003770741508573,0.0039989609873055,0.0025435940026474,0.0031379882110158,0.0192233121534339,0.0031212253594116,0.0008608821114345,0.0385400788247451,0.0140538099516036,0.0002746284287476,0.0322964982319862,0.02924956011998,0.0069302235091612,0.0376085701003476,0.0003154230312494,0.0005736460308546,0.002687336748027,0.0086484501661277,0.0004169856711233,0.013910692040912,0.0039149326685799
downstream_metrics_average_confidence_score_mean,0.9743672609329224,0.9752557277679444,0.8935868144035339,0.6465252041816711,0.7754647731781006,0.8576982617378235,0.8530330061912537,0.9661356806755066,0.9106751084327698,0.99067360162735,0.7637039422988892,0.6660506725311279,0.9417397975921632,0.8989566564559937,0.8650428652763367,0.9567387700080872,0.9870063066482544,0.9749895334243774,0.9900240898132324,0.9863234758377076,0.9331820011138916,0.9994277954101562,0.984437882900238,0.9990790486335754,0.993397057056427,0.9966343641281128,0.9966126680374146,0.9773062467575072,0.8031620383262634,0.7964450716972351,0.9955645203590392,0.7872335314750671,0.9940547347068788,0.980260729789734,0.9624159336090088
downstream_metrics_average_confidence_score_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_slice_wise_average_PCC_mean,0.6303250193595886,0.6672190427780151,0.7864565849304199,0.6861251592636108,0.7504398822784424,0.6232650876045227,0.6633813977241516,0.6385064721107483,0.6335397362709045,0.6220641732215881,0.7102444171905518,0.7522046566009521,0.8512029051780701,0.7000682353973389,0.6749687194824219,0.6685206890106201,0.7307053208351135,0.7070455551147461,0.6780163645744324,0.7158511877059937,0.8480443954467773,0.6542721390724182,0.6771316528320312,0.587110698223114,0.7097890973091125,0.7044818997383118,0.7213985323905945,0.799770712852478,0.666398286819458,0.7002471685409546,0.5907171964645386,0.7597756385803223,0.6428336501121521,0.671099066734314,0.5937765836715698
downstream_metrics_slice_wise_average_PCC_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_average_matching_rate_mean,0.9215023474178404,0.8260228034875923,0.5348356807511737,0.6464654594232059,0.5272971160295103,0.4456606304493628,0.5733333333333334,0.5366331321260899,0.4142454728370221,0.4898993963782696,0.5623340040241449,0.6246009389671362,0.5990073775989269,0.6085848423876593,0.8693226022803487,0.8507042253521127,0.6941381623071764,0.8088262910798122,0.8027900737759893,0.7245338698859826,0.6663983903420523,0.568879946344735,0.887082494969819,0.8016364855801476,0.6705566733735748,0.6232059020791415,0.8035412474849094,0.6078068410462777,0.7759892689470155,0.8057411133467471,0.0599329309188464,0.8196914822266935,0.9478202548625084,0.5282897384305835,0.0817169684775318
downstream_metrics_average_matching_rate_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bio_metrics_geometry_cell_distance_corr_mean,0.1388686706179346,0.1323655248217878,0.0303207763182145,0.0711714107270933,0.021078684863331,0.0195329542823673,0.0530140569200352,0.0655789420900548,0.0018586700396681,0.0247057902082977,0.0330994342510442,0.0556957288143645,0.0398846827029838,0.042895376443256,0.1258378513236932,0.1575150570525397,0.0463612632656036,0.0792749611765576,0.1001371943794906,0.0731783292377084,0.059809874435869,0.0550245789557576,0.090182413924225,0.1795634240736731,0.0625452994100006,0.0417879621183887,0.1523245403882629,0.0320240593327972,0.1442494478152786,0.1152137030000769,0.1478896030510533,0.1028388523180672,0.1685403408053956,0.047973304854885,0.1254713011311455
bio_metrics_geometry_cell_distance_corr_std,0.0218083179156443,0.0032616230344416,0.0013347395385054,0.0131807998503473,0.0085622422260573,0.0010027437053587,0.0066503384729232,0.0066582764842925,0.0024197564698667,0.0051880006697846,0.0011489033125562,0.0032509185708536,0.0043174621601684,0.0369795755944111,0.0096035495731529,0.0216413850754545,0.0031516637854072,0.0135330281003488,0.0045421831927305,0.0247509780371161,0.016274364794036,0.0041964219006078,0.0068115963019457,0.0587854432819315,0.0160881986422374,0.0009854546533596,0.033441230077578,0.0081368504522894,0.0159377327264206,0.0029349114598548,0.0146086433868474,0.0155114138129289,0.0354511109826162,0.0075570865009253,0.0562106634793481
bio_metrics_geometry_truthworthiness_mean,0.6990240639651508,0.6676769881972497,0.5246004608805763,0.658646927246052,0.5240443410987854,0.5528634001552706,0.5417984371310844,0.6089606505131246,0.506534843372815,0.5304175282749108,0.5257392411776002,0.5455423106867809,0.5337458078796111,0.5310220659733811,0.7969510441540875,0.6779012390789232,0.5410268698733574,0.6533440011576862,0.693339475243402,0.6431222167477753,0.546652744266321,0.5290620191775586,0.59939379989762,0.6233874795131948,0.5569679549351972,0.5371969612976853,0.5941119971115505,0.5272105538380241,0.7744300064895946,0.7440383815838991,0.7366321301611054,0.6130574984364401,0.6774461676876831,0.5471834927221635,0.6535300452225836
bio_metrics_geometry_truthworthiness_std,0.0183100592822946,0.013152402689109,0.0055799037121046,0.015826768294416,0.0098940914042362,0.0136545097499483,0.0143239317473589,0.016813107559197,0.0036579280821498,0.0103072439339437,0.0050146157591947,0.0083986363476252,0.0091639606658294,0.0092813881809135,0.0130887298150351,0.0199767038291207,0.006739368390744,0.0174099026321324,0.0189130067381403,0.019527465078579,0.0089392209381481,0.0051125080931324,0.0157595853028689,0.0232799358011641,0.0114826730515118,0.0095545374892616,0.0163997457756674,0.0090058933446267,0.0040913089165453,0.0093341857917109,0.008125144224772,0.0270666931305195,0.0275118947119746,0.0049813488631095,0.0183229413999316
bio_metrics_geometry_truthworthiness_decay_mean,-0.1332800966251185,-0.0990305397014053,-0.0018390053455896,-0.2180407023220017,-0.0078762018954104,-0.0147403135292667,-0.0053197298571393,-0.0847307749428326,0.0007037018585668,-0.0033596401801778,-0.0048757319625899,-0.0082823642177233,-0.0057506539623944,-0.0017494311104869,-0.2370866009904279,-0.1097068557200585,-0.0058438610050385,-0.1392783685526508,-0.2045788692286533,-0.1118013198593,-0.0072003945831949,0.0034868243039513,-0.0299370663327307,-0.0069295147861128,-0.0181997328299817,-0.0020399008597365,-0.008707441185986,-0.0105346347328001,-0.1808432352390783,-0.2323159349095684,-0.2640810387838036,-0.0510502471238209,-0.0527388876269131,-0.0248968802116703,-0.1495236708022801
bio_metrics_geometry_truthworthiness_decay_std,0.0084616069293664,0.0030056873456321,0.0005723484837417,0.0045546101714288,0.0024940996702465,0.0040931243877668,0.0013423583262452,0.0024362170929543,0.0013739731289209,0.0019338503120804,0.0008861135963878,0.0011656148811087,0.0018527629013689,0.0002476055242556,0.0115250503455885,0.0068855169031955,0.00118130582766,0.0057788733388668,0.0003618883633201,0.0081957733874361,0.0022061188996895,0.0007989170679241,0.0004352608340082,3.14412058027326e-05,0.004752512539933,0.0021115133459035,0.0003091011090254,0.0034276735790509,0.0019576231009652,0.0071865053236625,0.0018408083654755,0.010158030383228,0.0017740108282989,0.0053704948159387,0.003928667896132
