,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,STACI,STAMP,STAligner,STAIR,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche,STAGATE
downstream_metrics_PAS_kmeans_mean,0.1236740410547402,0.077259034681961,0.6714105105259351,0.0931461153490122,0.448554044640496,0.8879538410828991,0.4246522891438729,0.1609097113600474,0.5611759476739213,0.7351698421988007,0.3574559555041634,0.707947106762076,0.1378291954356696,0.0376047687574627,0.2767010365123369,0.1122475859725038,0.2097792386348819,0.255085613880087,0.1886952186750459,0.1073839108634746,0.0505956768193729,0.4324310277131655,0.2965120719604469,0.0550614821979616,0.7167484316521366,0.0178051342094471,0.2654500439326819,0.0508846303435221,0.1348269963334769,0.1776831149719661,0.0115637383555157,0.050890217025489,0.1875869315286085,0.106252697441184
downstream_metrics_PAS_kmeans_std,0.0050299732581301,0.0112179864518866,0.04314277137052,0.019987061437301,0.0163346951559928,0.0050845578446121,0.079317296006524,0.0287637762839199,0.0554731633733511,0.0019427372004779,0.0144829911580304,0.0657306300152917,0.0192489662550382,0.0015040314214481,0.0211380263367805,0.0047433566641952,0.0221464532161187,0.0084401928804224,0.0135858950451822,0.0228296639995466,0.0011207494357986,0.015405268831618,0.031677573572372,0.0053298485179884,0.0010210471055639,5.799896733918106e-05,0.004509701119314,0.0089107403374574,0.0051707672805228,0.0466543556754676,0.0006613566044255,0.0051281684959128,0.0052376080353736,0.0069012493812488
downstream_metrics_CHAOS_mclust_mean,0.0176699664443731,0.0180654041469097,0.0244014607742428,0.018347936682403,0.0229380140081048,0.0242776917293667,0.0200190097093582,0.0181805249303579,0.0226526902988553,0.0240685567259788,0.0198866203427314,0.0241894470527768,0.022218263708055,0.0175999049097299,0.0214186189696192,0.0180845065042376,0.0178487971425056,0.0185998911038041,0.0187394712120294,0.0183541988953948,0.0184037499129772,0.0192335834726691,0.0193152362480759,0.0187648991122841,0.0243404936045408,0.01759900059551,0.0198037410154938,0.0179601991549134,0.0177552979439497,0.0176546340808272,0.017593178898096,0.0184916583821177,0.0188092337921261,0.0180872092023491
downstream_metrics_CHAOS_mclust_std,0.0004079192876815,0.0004124008119106,0.0001470660790801,0.0003968039527535,0.0005860524252057,0.0004689479246735,0.0003037229180335,0.0003294926136732,0.0005351165309548,0.0004504807293415,0.0001272801309823,0.0003218566998839,9.751785546541214e-05,0.0003602709621191,1.886952668428421e-05,0.00039869453758,0.0003327913582324,0.0001201042905449,0.0001762732863426,0.0005105296149849,0.0003172066062688,0.0003927098587155,0.0002960814163088,0.0002101929858326,0.000692693516612,0.0003859782591462,0.000357243232429,0.000509669072926,0.0003577396273612,0.0004158960655331,0.0003733281046152,3.488827496767044e-05,9.675975888967514e-05,0.0003627287223935
downstream_metrics_PAS_mclust_mean,0.0358151018244663,0.079176378846915,0.6812787123196504,0.091180125291368,0.2795313721986296,0.7721879638425018,0.3164738019308322,0.1449060853330844,0.4836097204368664,0.7230004534447685,0.3040688128669696,0.6096553923088002,0.2905082399195672,0.0246599086606676,0.3135070636700465,0.0746228930780598,0.0469316125025134,0.2347974324262842,0.1111502272540157,0.1144222226740822,0.0730437506315467,0.1899594898902685,0.0650649381777827,0.0595590061173391,0.7271898144342495,0.0126746127219439,0.2189290632623231,0.0385648415257754,0.0488944491766612,0.0283289546809965,0.0114023630181719,0.0654063869710802,0.1907463848867419,0.0636705510783399
downstream_metrics_PAS_mclust_std,0.0028743759794026,0.0097199646619745,0.0401794113524953,0.0066897170434189,0.0645587679271324,0.0089094219661739,0.0603851939318536,0.0226551357336717,0.0487724175183827,0.0098911936535207,0.0150075597149379,0.1065751790878228,0.0266951593871531,0.00218422935842,0.0073458202394303,0.0033151590297339,0.0025113955730714,0.0045335388782578,0.0119944629691001,0.0247928058398392,0.0024063220509983,0.0199253362307199,0.0038437054541081,0.0034816271617313,0.0143678284149063,0.0019178059295152,0.010272546935597,0.0104120118791222,0.0038563056036138,0.0036234102971987,2.474924203421832e-05,0.0177434103413139,0.0052381661681911,0.0010448688031316
downstream_metrics_CHAOS_leiden_mean,0.0176457008346915,0.0179085824638605,0.0241531739011406,0.0183868752792477,0.0231386385858058,0.0242888648062944,0.019509277306497,0.018196003511548,0.0230009546503424,0.0247980626299977,0.0196432583034038,0.0239812359213829,0.0217045871540904,0.017606571316719,0.0210127821192145,0.0179989757016301,0.0186283243820071,0.0191653966903686,0.0185667108744382,0.0183235015720129,0.0182974282652139,0.0215069726109504,0.0233762273564934,0.018990053795278,0.0242256708443164,0.0176392132416367,0.0200053472071886,0.0183611698448658,0.0179015798494219,0.0181316956877708,0.0175831727683544,0.0202108351513743,0.0185737265273928,0.0181425884366035
downstream_metrics_CHAOS_leiden_std,0.0004627564921975,0.0004062503576278,0.0001852875575423,0.000335051678121,2.6853755116462708e-05,0.0001826882362365,0.0003233710303902,0.0003766920417547,3.558117896318436e-05,0.0002934830263257,0.0003131981939077,3.5703182220458984e-05,0.0007735108956694,0.0003652889281511,0.0001548575237393,0.00037841219455,0.0003211563453078,0.000274920836091,0.0003822762519121,0.0004761517047882,0.0001818276941776,5.1952898502349854e-05,6.368663161993027e-05,0.0003420514985918,0.0006502326577901,0.0004549948498606,0.0003310982137918,0.000498192384839,0.0003044633194804,0.0003888681530952,0.0003941617906093,4.254002124071121e-05,0.0002270555123686,0.0004724580794572
downstream_metrics_PAS_leiden_mean,0.0287015719129534,0.0601372156548861,0.5295619784891276,0.07455570298828,0.3448002055299339,0.8157976916140632,0.270063680893266,0.1219702783915097,0.4993583159043311,0.7207193418660571,0.2644965911281948,0.6014186636016421,0.122554940586882,0.0136498808904414,0.224906820997645,0.061503595729854,0.1306540487318639,0.2126403439023291,0.0735762120163313,0.0829772178268125,0.0973744452521175,0.4506587447569913,0.3754127679951684,0.0739339336604564,0.7042234052175209,0.0104570841156428,0.2450978726182759,0.0283478120749189,0.1404049984651214,0.0810382697726327,0.0111913299214473,0.1094339005793755,0.1521546084333424,0.0678024792639872
downstream_metrics_PAS_leiden_std,0.0198280042918994,0.0039911529015266,0.0465590099934845,0.0135579054205313,0.0320867451577547,0.0263693664201534,0.0860807896423483,0.0285105445985383,0.0197068747475753,0.014632329832478,0.0364650548519013,0.0412348083876232,0.0282333854781967,0.004744393961398,0.0149735323513429,0.0022613601015224,0.0114826297449467,0.0023361954062986,0.0029343692342671,0.0112864520826138,0.0258660028949666,0.0405913950171336,0.0496123913473341,0.0024666030721836,0.005605511253462,0.0016473551105676,0.0125337946074872,0.0055893454784747,0.0042053112743396,0.0047830429859494,0.0011367479047854,0.0205096022454831,0.0046649517185934,0.010890353118882
downstream_metrics_average_confidence_score_mean,0.9941840767860411,0.9747810363769532,0.7644142508506775,0.7364500164985657,0.7136871814727783,0.8338884115219116,0.7789475321769714,0.942590594291687,0.9678773880004884,0.7459529042243958,0.7356929183006287,0.927565336227417,0.7655121684074402,0.8739652633666992,0.9895219802856444,0.996176302433014,0.9879348874092102,0.8893306851387024,0.806791365146637,0.9904103875160216,0.9986265301704408,0.9917044043540956,0.9967814683914183,0.9983611702919006,0.9302969574928284,0.7848724722862244,0.8791245222091675,0.7756444215774536,0.9999879002571106,0.7993167042732239,0.9976642727851868,0.932410478591919,0.9754133820533752,0.9991902709007264
downstream_metrics_average_confidence_score_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_slice_wise_average_PCC_mean,0.6318659526999506,0.5814062155530296,0.5918484177278044,0.6032520754876609,0.6094925293159412,0.5925557568767161,0.596585686974854,0.5706232262726139,0.6330917787914474,0.6439163139942273,0.6518437213874985,0.6476244396235257,0.6157611346496762,0.6380830466782949,0.6346399770815464,0.6285027169727735,0.6033947836637353,0.700709562685652,0.6339223098522807,0.5837065213292688,0.588228592341719,0.6036605544250977,0.5861233491213398,0.6183576899040624,0.6360920036782188,0.6227297654372091,0.5425078785479738,0.6268101664080061,0.536791490534587,0.6521497693500109,0.6241524675932819,0.605141555491197,0.5313607025699839,0.6242966753115796
downstream_metrics_slice_wise_average_PCC_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_average_matching_rate_mean,0.5682377278318238,0.6436318908643632,0.2846080733534608,0.6333445152633345,0.3939673487643967,0.282259868053226,0.4456837750195683,0.4407078161690708,0.3935759812143576,0.3691993738119199,0.5824387789332439,0.4124734429162473,0.448870625069887,0.7811137202281113,0.5868276864586828,0.7051604606955161,0.7025047523202504,0.5207704349770771,0.6355249916135525,0.7078161690707816,0.212540534496254,0.5636251817063626,0.4364866375936486,0.7115341607961534,0.2781225539528122,0.741389913899139,0.3079783070557978,0.7516213798501621,0.2546684557754669,0.6959912780945992,0.7637817287263782,0.2931622498043162,0.2612378396511238,0.7017220172201722
downstream_metrics_average_matching_rate_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bio_metrics_geometry_cell_distance_corr_mean,0.322957799109085,0.3651968829419029,0.1615684174778246,0.2853360119293481,0.1362219652449574,0.0990062895940168,0.1738896378041204,0.2660823119552913,0.1778979774453806,0.1626031560477351,0.2588639542939502,0.1544528620460336,0.2280774414784349,0.3363982737178893,0.2418379154062523,0.3298964988950481,0.2626206057664165,0.2549479950179306,0.3198464902266501,0.3257070655673629,0.2975988824366425,0.267660505288528,0.1747167917551014,0.2333058036441254,0.1655630137998887,0.3672402152303274,0.2550225921044663,0.3348787672844234,0.2098269946783001,0.3200608346407299,0.323075332075317,0.2411186710730973,0.3252468695398863,0.3461437191528173
bio_metrics_geometry_cell_distance_corr_std,0.0234718517148599,0.0049822652724674,0.0458283161426472,0.0274569903570524,0.0234515808848402,0.0231553530672263,0.0862933533303782,0.0679861355348592,0.0166049293379058,0.031921661757262,0.0430890395363062,0.0336959323959144,0.0469147963170134,0.0105644768927676,0.0253366465802314,0.0061102669365111,0.0203277094850734,0.0284884508693067,0.0297502135878861,0.0268107493802746,0.0114890375071274,0.041764012324153,0.0185763967564969,0.0213394027441793,0.02332550495421,0.0163115133446644,0.0627400103577994,0.0331330368389297,0.0019654967003437,0.0234933027539794,0.0126006388187551,0.0518306212452511,0.0221854589007531,0.0099002982634671
