,BINARY,DECIPHER_niche,DECIPHER_cell,FuseMap_niche,FuseMap_cell,SToFM,scGPT_sp,Novae,CellPLM,CELLama,Scanorama,scVI,Harmony,NicheCompass,STAMP,STAligner,STAIR,STAGATE,SPIRAL,SpiceMix,spCLUE,SpaVAE,SIMVI,SEDR,scNiche,PRECAST,MENDER_wo_pcs,GraphST,GraphPCA,DeepGFT,CellCharter,CAST,BANKSY,CellNiche
downstream_metrics_PAS_kmeans_mean,0.0726501761102786,0.0818279038420063,0.7530264643238493,0.0828584716827916,0.5247144763460774,0.7742556558694633,0.4740712542622398,0.1185132003539179,0.8052088185134211,0.7705516598919193,0.5656483160540053,0.5043198743243629,0.5468829331528862,0.0535594168351024,0.5546980789761753,0.1545574214527657,0.0815685502898167,0.1365315289842659,0.4616294078711905,0.5366614872032389,0.2206681030156971,0.2553098537827102,0.4138623758607317,0.3045763148017022,0.0792104695100721,0.5326394398573439,0.0452684759204088,0.2167323291482573,0.0637669141916406,0.0559897933149656,0.0654921828690948,0.0256362494411126,0.3549288617470942,0.0712186869066453
downstream_metrics_PAS_kmeans_std,0.0016612737424842,0.0062112439147924,0.013775891470365,0.0017379253378215,0.0050577391398052,0.0033296550607289,0.0932247789960314,0.0053354764668575,0.0094786955271054,0.0074883539656937,0.0088796590022912,0.0034754260305815,0.0016836699997208,0.0001604861616064,3.812563564908889e-06,0.0029646641179946,0.0030565114885002,0.0065050204700905,0.0178826557492435,0.0126488421313524,0.0156620403099981,0.0006545619067358,0.0032872849201462,0.0045134132426421,0.0100412193865154,0.0049891713660914,0.0010540293588291,0.0004857550367418,0.0015159181757044,0.0005016322869744,0.004185627628047,0.0006925459940313,0.0009952678215875,0.0014326138077366
downstream_metrics_CHAOS_mclust_mean,0.0101013467647135,0.0106431781314313,0.0203781398013234,0.0106081068515777,0.018842295743525,0.0193207468837499,0.0142094045877456,0.0107238059863448,0.0214695893228054,0.0211150916293263,0.0178087763488292,0.0165985785424709,0.0175173580646514,0.0102757825516164,0.0147700821980834,0.0107357269152998,0.0101898522116243,0.010804234072566,0.0174447121098637,0.0139036835171282,0.012152892537415,0.0127924508415162,0.0161307118833065,0.0113272643648087,0.0109734437428414,0.0175942294299602,0.0100443083792924,0.0107686477713286,0.0101412874646484,0.0100553901866078,0.0100795254111289,0.0099291088990867,0.0156912268139421,0.0105372103862464
downstream_metrics_CHAOS_mclust_std,5.843350663781166e-05,0.0001358375884592,4.881341010332108e-05,1.2882985174655914e-05,3.4598633646965027e-06,2.7898699045181274e-05,0.0003661224618554,8.706748485565186e-05,0.0004544667899608,3.081467002630234e-05,5.517154932022095e-05,0.0001927260309457,0.0001146029680967,5.0412025302648544e-05,0.000148519873619,1.184176653623581e-05,8.265813812613487e-05,8.173007518053055e-05,0.0002105934545397,4.718545824289322e-06,3.15643846988678e-05,1.7123762518167496e-05,7.665157318115234e-05,3.728596493601799e-05,0.0001288396306335,0.0001164954155683,0.0001054080203175,8.847517892718315e-05,7.666600868105888e-05,0.0001036301255226,9.924918413162231e-05,8.652033284306526e-05,0.0001596282236278,0.0001442865468561
downstream_metrics_PAS_mclust_mean,0.0414061758634416,0.0732127072659955,0.6101801719089289,0.0737521023189562,0.5396414249236754,0.6706714348985636,0.2368642004005287,0.0829307401433645,0.7966347570564452,0.7424609021655058,0.5580466708718299,0.4912878992263821,0.5344182935855049,0.0631087114277622,0.4786778126451746,0.0840621619158914,0.0492035906881254,0.0846983342107191,0.4938642971826348,0.5145207057749184,0.1931753948669846,0.3152179137199218,0.4985190851270127,0.1837547132488737,0.0856347281319389,0.5392878843185679,0.0420923059716065,0.140481994208857,0.0471114053293361,0.0492384923289664,0.0420541409358998,0.0229620089821857,0.4505937359037782,0.0787961871500307
downstream_metrics_PAS_mclust_std,0.0008726577619346,0.0058406445441551,0.0107058492239309,0.0078851354040073,0.0063485283068806,0.0098456272874749,0.0334675162112848,0.0014058266330082,0.0264546080871051,0.0133419732891971,0.0004293142115146,0.0007006682428712,0.0013949750789676,0.0064873707037019,0.0036648211329625,0.0073472823039045,0.002195969000961,0.0059697702058689,0.0008957928918498,0.017963456511104,0.0135460860154343,0.0099606817781237,0.0007880342216795,0.0132844205067985,0.0048511544247906,0.0031931328895015,0.0022083634807005,0.0020574315897681,0.0029402638084631,0.0004986690135325,0.0019320207211068,0.0009630483031626,0.0041620712580135,0.0021895701398106
downstream_metrics_CHAOS_leiden_mean,0.0099332453683018,0.0102036301977932,0.0185452932491898,0.0103114354424178,0.0142964972183108,0.0200754720717668,0.0172336483374238,0.0107108992524445,0.0214416207745671,0.0177275948226451,0.0169644942507147,0.0158346043899655,0.0148534886538982,0.0100815584883093,0.0168892536312341,0.0102896220050752,0.0100728208199143,0.0101880030706524,0.0144328740425407,0.0257421992719173,0.0115397428162395,0.0120385363698005,0.0134297888725996,0.0123681360855698,0.0109998886473476,0.0172950532287359,0.0101446309126913,0.0105478670448064,0.0100579434074461,0.0098306159488856,0.0107888695783913,0.0098886312916874,0.0147309391759336,0.0102088889107108
downstream_metrics_CHAOS_leiden_std,8.194707334041595e-05,7.884064689278603e-05,2.410169690847397e-05,1.2876000255346298e-05,0.0001079998910427,4.531443119049072e-05,6.225984543561935e-05,4.683295264840126e-05,0.0002324664965271,0.0001314431428909,2.2458843886852264e-05,9.515788406133652e-05,0.0003843903541564,5.482509732246399e-05,0.0001149997115135,6.787898018956184e-05,0.0001237178221344,9.987503290176392e-05,0.0001039025373756,0.0003153719007968,1.1222437024116517e-07,1.3393349945545197e-05,0.0001080660149455,0.0001869602128863,0.0001680427230894,0.0001007430255413,0.0001360704191029,8.231960237026215e-06,0.0001163301058113,0.0001114285551011,3.08905728161335e-05,8.83033499121666e-05,0.0001374096609652,5.0361268222332e-05
downstream_metrics_PAS_leiden_mean,0.0160156811177204,0.0263004327445458,0.512326432922101,0.0371927298492911,0.3674873527372758,0.7055881849318599,0.5395482326005981,0.0682191123922414,0.7954297637029333,0.5365022579521009,0.4730189268886,0.4638529778283095,0.3717115413472839,0.0327637947071866,0.4786986105247799,0.0389985302980914,0.0254405644357642,0.0318960269301356,0.4047746052696022,0.9650026345310384,0.1669711517683901,0.2463486794669028,0.3047226315353109,0.2114304730907493,0.0665712653137126,0.5308357679844762,0.0297997799605059,0.0943884256376083,0.01710535196291,0.0136625730143377,0.0607480122466818,0.0172359534242992,0.3263684718765037,0.0581967539590597
downstream_metrics_PAS_leiden_std,0.0002453616676597,0.0009600903803458,0.0048007106774139,0.0049737795634778,0.0074059392607472,0.0063250317665636,3.257460536065793e-05,0.0013994345817442,0.0065201846279289,0.0022046657123642,0.007861897639375,0.0026722257053818,0.0098762737221324,0.0033596720673113,0.0017924686368345,0.0006519167522747,0.0008433013143368,0.0012539817308724,0.0031420052349581,0.0016820040096455,0.0107482174188318,0.0085823534665563,0.0160079251434868,0.0091742804699282,0.0084547177107113,0.0046362183568995,0.0007302737377445,0.0023002565747293,0.0003465794419054,0.0004981752967657,0.004624679490749,0.0007583854353853,0.0053698576378063,0.0007959225022782
downstream_metrics_average_confidence_score_mean,0.962482750415802,0.94771146774292,0.7977738380432129,0.791849672794342,0.7295840382575989,0.775192379951477,0.8801414370536804,0.9690378904342652,0.9846090078353882,0.7081281542778015,0.778407871723175,0.954883873462677,0.8087724447250366,0.9298171401023864,0.9898217916488647,0.9594864249229432,0.9876188039779664,0.9633378982543944,0.7764067053794861,0.9999211430549622,0.9914087653160096,0.9999698996543884,0.9367882013320924,0.9695374965667723,0.9987067580223083,0.995051920413971,0.8526235818862915,0.9648821353912354,0.8745279312133789,0.981079399585724,0.8775420784950256,0.9814417362213136,0.9473251104354858,0.9940239191055298
downstream_metrics_average_confidence_score_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_slice_wise_average_PCC_mean,0.2904199361801147,0.2433432936668396,0.3637776374816894,0.2851410806179046,0.3834198713302612,0.3264811635017395,0.4067771136760711,0.245926097035408,0.2844767570495605,0.3481263518333435,0.4338527023792267,0.3681485056877136,0.3942430317401886,0.2842772006988525,0.3384918868541717,0.2719194591045379,0.2861903309822082,0.2716462314128876,0.3868981003761291,0.1749335974454879,0.3205607831478119,0.2847991287708282,0.3535501360893249,0.3547230660915375,0.2752181887626648,0.3159108757972717,0.2511307895183563,0.2296376079320907,0.3450230360031128,0.2048243582248687,0.3689815700054168,0.2454884797334671,0.3677820265293121,0.2203033119440078
downstream_metrics_slice_wise_average_PCC_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downstream_metrics_average_matching_rate_mean,0.854408453143946,0.8278408106703621,0.6136324268144812,0.830482418153473,0.6627836480166291,0.5349255153299844,0.6020916334661355,0.787480512731682,0.3989693400311796,0.5539580807205958,0.6565910271955656,0.7075394075870431,0.6613978867140136,0.8363069461285294,0.6707950805473757,0.8273211501818811,0.8281222934349558,0.8145678156937467,0.7207690975229517,0.2129092326346786,0.8154772215485883,0.6727438073791789,0.7886280963104105,0.8100207864195392,0.7993027888446215,0.5519660488480859,0.7990646111207345,0.6374501992031872,0.8422397367053525,0.6011605750909406,0.8696734799930712,0.8902433743287719,0.8339684739303654,0.6310194006582366
downstream_metrics_average_matching_rate_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bio_metrics_geometry_cell_distance_corr_mean,0.1594799094936243,0.1791706384352852,0.070738880454328,0.1729642889790698,0.0857484102334763,0.0541396452259867,0.0493078861432452,0.0981074743302325,0.0164285210708516,0.0534527972473749,0.0685809238105173,0.0791870640551632,0.0732813728964537,0.1667016279477661,0.0547793273594911,0.1324691647922112,0.1552472804018183,0.137606245827946,0.0979907002348616,0.0260763675142013,0.1072897372760246,0.0734870839023212,0.0985931768623286,0.0904847016775998,0.147904205075166,0.0307907059691964,0.1206751441926333,0.1272301605307962,0.1711097090015542,0.201338035874192,0.1400703096724847,0.1797828842694249,0.1096263608694355,0.1892766455057634
bio_metrics_geometry_cell_distance_corr_std,0.0307580555480862,0.0257036573693412,0.013739202748282,0.0244975481117182,0.0123723142309379,0.0044160349318282,0.0028377429512149,0.0090832167371204,0.0104626263056565,0.0040604986917291,0.0076032160814357,0.0109824461170546,0.0082480952341059,0.0218736881487436,0.018214697997533,0.0286944406146214,0.0443361205048552,0.0286161074391723,0.0196146484725068,0.0108814322938611,0.0545042655556425,0.0688959946272128,0.0247969788440298,0.0421392648798303,0.0452390363920981,0.0037002268686166,0.0150368184290441,0.0061022368009192,0.0158861223180686,0.0253413976233135,0.0228948449397573,0.0751360186994686,0.0174172459787951,0.0076849096951248
